group,problem,run_id,case_code,sources,cleared,full_clear,virtual_time_s,avg_clear_time_s,program_run_s,measure_calls,switches,clear_failures,fallback_actions,policy_deviations_from_prior,end_reason
PlanB-RL,3,36,VCHM-V4P7-TY9X-FY4U,15,15,1,5738.732339,382.582156,1.95,115,101,0,0,0,user_exit
PlanB-RL,3,37,BSFG-Q2U3-THRG-35W2,15,15,1,6115.995969,407.733065,2.66,115,96,0,0,0,user_exit
PlanB-RL,3,38,KNHG-PVBB-RXNY-YV5E,13,13,1,4784.43366,368.033358,1.865,105,91,0,0,0,user_exit
PlanB-RL,3,39,HZ3N-8Z2C-J9B3-SZMR,14,14,1,5498.790508,392.770751,1.802,104,88,0,0,0,user_exit
PlanB-RL,3,40,F66F-FDQ4-ZPNP-N3DN,10,10,1,4759.170181,475.917018,1.647,112,96,0,0,0,user_exit
PlanB-RL,3,41,9F3S-W429-52FF-3TEA,12,12,1,4907.990268,408.999189,1.466,117,104,0,0,0,user_exit
PlanB-RL,3,42,HNND-6GUG-H8M7-PFP6,11,11,1,5544.523863,504.047624,1.283,114,98,0,0,0,user_exit
PlanB-RL,3,43,CYR3-CWHA-P4Y8-KS2C,10,10,1,5172.011191,517.201119,1.542,119,104,0,0,0,user_exit
PlanB-RL,3,44,5MCX-QUU8-C4AS-6F7J,15,15,1,5548.458706,369.897247,1.712,105,89,0,0,0,user_exit
PlanB-RL,3,45,DQZC-PUHV-QH8P-VPRG,10,10,1,4636.778795,463.67788,1.731,109,98,0,0,0,user_exit
PlanB-RL,3,46,HR8V-WEDF-U8BP-B6ZM,13,13,1,6785.27128,521.943945,2.358,112,97,103,1,0,user_exit
PlanB-RL,3,47,8KKY-UY9U-QMX7-G4YY,16,16,1,6200.231623,387.514476,2.139,94,76,0,0,0,user_exit
PlanB-RL,3,48,QEV2-SKQY-8DS2-2TP7,11,11,1,4830.365068,439.124097,1.719,126,112,0,0,0,user_exit
PlanB-RL,3,49,XUBK-TQA8-9M4Z-3JQV,15,15,1,5763.366408,384.224427,2.065,106,95,0,0,0,user_exit
PlanB-RL,3,50,Z7UZ-BZRA-33B9-JJA8,14,14,1,6391.530609,456.537901,3.039,113,95,102,1,0,user_exit
