seed,mode,variant,kind,sources,cleared,virtual_s,distance_m,measure_calls,switches,failed_clear,clear_calls,visited,opportunistic,wall_s
91000,3,G31,uniform,15,15,5748.815980395954,25094.07990197977,114,85,0,15,7,0,0.026661396026611328
91001,3,G31,uniform,11,11,4833.139634558257,20190.69817279129,127,105,0,11,7,0,0.004189968109130859
91002,3,G31,uniform,11,11,4538.4026873255225,19082.013436627607,115,92,0,11,7,0,0.003980875015258789
91003,3,G31,uniform,10,10,4040.5001744425895,16677.500872212946,112,95,0,10,7,0,0.0032684803009033203
91004,3,G31,uniform,12,12,4538.488229756953,18907.441148784776,120,97,0,12,7,0,0.00488591194152832
91005,3,G31,uniform,14,14,5396.498358985167,23042.491794925838,124,98,0,14,7,0,0.005371809005737305
91006,3,G31,uniform,10,10,4586.294554567641,19261.472772838202,117,99,0,10,7,0,0.0033538341522216797
91007,3,G31,uniform,16,16,5325.036846048265,22870.184230241328,116,91,0,16,7,0,0.006777286529541016
91008,3,G31,uniform,10,10,4578.812474622408,19194.062373112036,118,100,0,10,7,0,0.003687620162963867
91009,3,G31,uniform,16,16,4789.783996069031,20828.91998034514,95,69,0,16,6,0,0.005781888961791992
91010,3,G31,uniform,10,10,4385.480817060259,18212.40408530128,119,98,0,10,7,0,0.0034792423248291016
91011,3,G31,uniform,14,14,5246.0080350598655,22855.040175299328,105,80,0,14,7,0,0.005393266677856445
91012,3,G31,uniform,13,13,4719.9154527705505,20304.57726385275,103,79,0,13,7,0,0.004821300506591797
91013,3,G31,uniform,13,13,4795.055247506632,20290.276237533155,116,92,0,13,7,0,0.005191802978515625
91014,3,G31,uniform,12,12,4900.863169052732,20874.31584526365,115,91,0,12,7,0,0.005269765853881836
91015,3,G31,uniform,14,14,4574.1947637689655,19300.973818844832,111,89,0,14,7,0,0.004860639572143555
91016,3,G31,uniform,14,14,4900.351785086247,21191.758925431233,103,77,0,14,7,0,0.0057446956634521484
91017,3,G31,uniform,12,12,4548.450163571308,19512.250817856544,101,81,0,12,7,0,0.0042417049407958984
91018,3,G31,uniform,10,10,4962.277406149646,21191.387030748225,116,94,0,10,7,0,0.0056226253509521484
91019,3,G31,uniform,12,12,4603.138954172104,19315.694770860522,117,95,0,12,7,0,0.004813671112060547
91020,3,G31,uniform,13,13,4670.64871217532,19728.2435608766,114,90,0,13,7,0,0.004717350006103516
91021,3,G31,uniform,12,12,4928.4362018929,20897.1810094645,119,94,0,12,7,0,0.004608631134033203
91022,3,G31,uniform,14,14,4985.647926128878,21263.23963064439,114,93,0,14,7,0,0.004968166351318359
91023,3,G31,uniform,12,12,4883.416237588756,20657.081187943775,119,97,0,12,7,0,0.0043485164642333984
91024,3,G31,uniform,15,15,5290.615149764344,22953.07574882172,109,80,0,15,7,0,0.005846500396728516
91025,3,G31,uniform,10,10,4985.893376375195,21219.466881875982,119,97,0,10,7,0,0.0039408206939697266
91026,3,G31,uniform,14,14,5303.4025780974125,22867.01289048706,114,90,0,14,7,0,0.005555629730224609
91027,3,G31,uniform,16,16,4731.236199800833,20646.180999004155,91,67,0,16,6,0,0.005770444869995117
91028,3,G31,uniform,10,10,4502.973737805777,18774.868689028885,120,98,0,10,7,0,0.0038673877716064453
91029,3,G31,uniform,16,16,5527.945590959963,24044.72795479981,112,79,0,16,6,0,0.0065555572509765625
91030,3,G31,uniform,15,15,4976.655727160486,21188.278635802435,115,89,0,15,7,0,0.0057675838470458984
91031,3,G31,uniform,13,13,5109.449206125391,21857.246030626964,116,93,0,13,7,0,0.008066892623901367
91032,3,G31,uniform,16,16,5171.0583951402305,22415.291975701144,106,78,0,16,7,0,0.006198883056640625
91033,3,G31,uniform,14,14,4754.895227114356,20564.476135571767,99,77,0,14,7,0,0.0050351619720458984
91034,3,G31,uniform,10,10,4622.997860534497,19269.98930267249,123,104,0,10,7,0,0.003631591796875
91035,3,G31,uniform,15,15,5090.441978149921,22242.209890749607,99,72,0,15,7,0,0.005452871322631836
91036,3,G31,uniform,12,12,4949.9779771834665,21264.889885917342,110,87,0,12,7,0,0.0042116641998291016
91037,3,G31,uniform,15,15,4827.911793004966,20899.55896502483,100,73,0,15,7,0,0.005852699279785156
91038,3,G31,uniform,13,13,5006.1880555440675,21590.940277720343,108,83,0,13,7,0,0.00485682487487793
91039,3,G31,uniform,11,11,4454.524750364396,18627.623751821975,116,94,0,11,7,0,0.00395512580871582
91040,3,G31,uniform,12,12,4662.447547058577,19762.23773529289,112,90,0,12,7,0,0.004706621170043945
91041,3,G31,uniform,11,11,4412.888889498558,18589.444447492784,110,90,0,11,7,0,0.007148265838623047
91042,3,G31,uniform,15,15,4883.411091557701,20877.05545778849,110,83,0,15,7,0,0.006137371063232422
91043,3,G31,uniform,14,14,4957.706122881531,21338.53061440765,107,85,0,14,7,0,0.006205558776855469
91044,3,G31,uniform,12,12,5048.075978267831,21535.379891339155,118,91,0,12,7,0,0.004836082458496094
91045,3,G31,uniform,10,10,4348.179349621134,17975.896748105675,120,103,0,10,7,0,0.0034856796264648438
91046,3,G31,uniform,16,16,5445.193535586377,23740.96767793189,107,82,0,16,7,0,0.0072174072265625
91047,3,G31,uniform,11,11,4488.723988284168,19003.619941420842,109,88,0,11,7,0,0.005868196487426758
91048,3,G31,uniform,16,16,4819.120788057666,21040.60394028832,93,66,0,16,6,0,0.005814075469970703
91049,3,G31,uniform,15,15,4962.904983509658,21439.52491754829,104,80,0,15,7,0,0.005997657775878906
91050,3,G31,uniform,16,16,4379.505381159625,19032.526905798135,86,63,0,16,5,0,0.005475759506225586
91051,3,G31,uniform,16,16,5031.614127972919,21858.07063986459,101,75,0,16,6,0,0.006219625473022461
91052,3,G31,uniform,12,12,4915.022884551162,20875.1144227558,117,95,0,12,7,0,0.004832744598388672
91053,3,G31,uniform,14,14,4898.495339697502,20992.476698487517,109,85,0,14,7,0,0.00489497184753418
91054,3,G31,uniform,13,13,4629.740841578128,19878.70420789063,102,79,0,13,7,0,0.004418373107910156
91055,3,G31,uniform,10,10,4266.061188580378,17355.305942901905,127,110,0,10,7,0,0.0031948089599609375
91056,3,G31,uniform,16,16,4865.951427470596,21234.75713735298,94,69,0,16,6,0,0.006134033203125
91057,3,G31,uniform,13,13,4930.232062927986,20876.160314639925,119,95,0,13,7,0,0.0046651363372802734
91058,3,G31,uniform,10,10,4940.870278158367,20834.351390791828,124,104,0,10,7,0,0.0034415721893310547
91059,3,G31,uniform,16,16,4630.626783975582,20013.133919877917,96,68,0,16,6,0,0.006193637847900391
91060,3,G31,uniform,14,14,4981.644216703707,21273.221083518532,114,87,0,14,7,0,0.005132436752319336
91061,3,G31,uniform,14,14,4545.585831084458,19222.92915542229,108,91,0,14,7,0,0.004471302032470703
91062,3,G31,uniform,15,15,4940.0572303730405,20965.286151865203,116,92,0,15,7,0,0.005368947982788086
91063,3,G31,uniform,10,10,4630.070222994725,19255.35111497362,125,104,0,10,7,0,0.003554821014404297
91064,3,G31,uniform,14,14,5110.8834956063565,21734.417478031773,120,94,0,14,7,0,0.005171537399291992
91065,3,G31,uniform,11,11,4763.752851777766,20103.764258888812,118,98,0,11,7,0,0.003965854644775391
91066,3,G31,uniform,15,15,4878.932316237529,21284.661581187644,95,72,0,15,7,0,0.0067272186279296875
91067,3,G31,uniform,13,13,4809.021548377285,20625.107741886426,107,84,0,13,7,0,0.0044100284576416016
91068,3,G31,uniform,14,14,5155.543840976153,22192.719204880766,112,87,0,14,7,0,0.00491786003112793
91069,3,G31,uniform,15,15,5289.475414509972,22912.377072549876,110,82,0,15,7,0,0.006376981735229492
91070,3,G31,uniform,14,14,4988.67266116282,21363.363305814106,112,86,0,14,7,0,0.0053102970123291016
91071,3,G31,uniform,13,13,4738.966109165667,20204.83054582834,110,83,0,13,7,0,0.004899024963378906
91072,3,G31,uniform,12,12,4819.587094673059,20397.9354733653,117,95,0,12,7,0,0.004794120788574219
91073,3,G31,uniform,10,10,4535.873562240127,19104.367811200646,114,95,0,10,7,0,0.003816366195678711
91074,3,G31,uniform,11,11,4810.557248674747,20352.786243373732,118,95,0,11,7,0,0.004004955291748047
91075,3,G31,uniform,14,14,4820.330953947898,20796.65476973948,103,76,0,14,7,0,0.004953622817993164
91076,3,G31,uniform,10,10,4526.995577568364,19034.977887841815,115,95,0,10,7,0,0.003945589065551758
91077,3,G31,uniform,11,11,4627.941193668257,19154.705968341295,127,107,0,11,7,0,0.0039997100830078125
91078,3,G31,uniform,10,10,4770.856415508159,20114.2820775408,120,98,0,10,7,0,0.003796815872192383
91079,3,G31,uniform,11,11,4421.614069228693,18763.07034614346,106,84,0,11,7,0,0.003888368606567383
91080,3,G31,uniform,14,14,4734.956649244407,20624.78324622204,94,70,0,14,7,0,0.00553131103515625
91081,3,G31,uniform,14,14,5261.346964578663,22301.73482289332,126,101,0,14,7,0,0.005204439163208008
91082,3,G31,uniform,15,15,5123.98093733202,22369.904686660102,100,75,0,15,7,0,0.005239725112915039
91083,3,G31,uniform,10,10,4618.082894671611,19300.41447335805,122,98,0,10,7,0,0.004289388656616211
91084,3,G31,uniform,15,15,5532.125468418901,24010.6273420945,114,85,0,15,7,0,0.005829811096191406
91085,3,G31,uniform,10,10,4482.223315992144,18501.116579960722,125,107,0,10,7,0,0.003609895706176758
