kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,3,97000,A0,G25OR,S25,True,13,4794.823927181492,20859.119635907457,95,83,13,0,0,0,0,48,13
uniform,3,97000,G25O,G25OR,S25,True,13,4203.550555211316,17682.752776056583,101,97,13,0,0,0,34,,13
uniform,3,97001,A0,G25OR,S25,True,12,5557.339053980817,24431.695269904092,104,91,12,0,0,0,0,49,12
uniform,3,97001,G25O,G25OR,S25,True,12,4072.2668735858542,17061.33436792927,101,95,12,0,0,0,27,,12
uniform,3,97002,A0,G25OR,S25,True,12,6009.001837211064,24900.009186055424,109,94,122,110,0,1,0,49,12
uniform,3,97002,G25O,G25OR,S25,True,12,4107.837502256921,17059.187511284603,106,103,13,1,0,0,27,,12
uniform,3,97003,A0,G25OR,S25,True,12,6641.119059480197,28065.59529740108,113,97,114,102,0,1,0,50,12
uniform,3,97003,G25O,G25OR,S25,True,12,4437.434453980676,18632.17226990339,110,101,12,0,0,0,28,,12
uniform,3,97004,A0,G25OR,S25,True,10,4809.5638872344925,20247.81943617247,121,105,10,0,0,0,0,42,10
uniform,3,97004,G25O,G25OR,S25,True,10,4040.813441624285,16409.067208121425,119,114,10,0,0,0,23,,10
uniform,3,97005,A0,G25OR,S25,True,13,5435.034127169265,23475.17063584633,116,95,13,0,0,0,0,57,13
uniform,3,97005,G25O,G25OR,S25,True,13,4413.174362808975,18535.87181404488,107,106,13,0,0,0,28,,13
uniform,3,97006,A0,G25OR,S25,True,12,5196.19103058008,22105.955152900387,122,105,12,0,0,0,0,46,12
uniform,3,97006,G25O,G25OR,S25,True,12,3894.5583454958187,15652.791727479098,119,109,12,0,0,0,24,,12
uniform,3,97007,A0,G25OR,S25,True,12,5829.545267273915,25437.726336369586,116,102,12,0,0,0,0,49,12
uniform,3,97007,G25O,G25OR,S25,True,12,4615.216039839557,19281.080199197782,118,109,12,0,0,0,32,,12
uniform,3,97008,A0,G25OR,S25,True,16,6716.686110728591,28638.430553643055,101,86,122,106,0,1,0,61,16
uniform,3,97008,G25O,G25OR,S25,True,16,3831.556742375468,15967.783711877339,94,88,16,0,0,0,35,,16
uniform,3,97009,A0,G25OR,S25,True,11,4829.314179369515,20581.570896847585,112,98,11,0,0,0,0,49,11
uniform,3,97009,G25O,G25OR,S25,True,11,3598.423481176232,14517.11740588116,107,105,11,0,0,0,26,,11
uniform,3,97010,A0,G25OR,S25,True,11,4975.31166855589,21271.558342779445,114,96,11,0,0,0,0,42,11
uniform,3,97010,G25O,G25OR,S25,True,11,4121.406268148576,16862.03134074288,116,114,11,0,0,0,26,,11
uniform,3,97011,A0,G25OR,S25,True,13,5432.047697017479,23460.23848508741,115,100,13,0,0,0,0,51,13
uniform,3,97011,G25O,G25OR,S25,True,13,4564.405908657633,19057.029543288172,115,113,13,0,0,0,31,,13
uniform,3,97012,A0,G25OR,S25,True,12,5213.734722526414,22433.673612632072,114,97,12,0,0,0,0,48,12
uniform,3,97012,G25O,G25OR,S25,True,12,3908.3139151610703,15806.569575805353,115,112,12,0,0,0,30,,12
uniform,3,97013,A0,G25OR,S25,True,16,6131.150311444175,27205.751557220876,105,85,16,0,0,0,0,60,16
uniform,3,97013,G25O,G25OR,S25,True,16,4349.935569590096,18074.677847950476,109,107,17,1,0,0,41,,16
uniform,3,97014,A0,G25OR,S25,True,10,4594.785830624712,19293.92915312356,116,106,10,0,0,0,0,47,10
uniform,3,97014,G25O,G25OR,S25,True,10,3518.065530674763,13930.327653373823,114,112,10,0,0,0,28,,10
uniform,3,97015,A0,G25OR,S25,True,11,4813.692236835847,20228.461184179236,121,108,11,0,0,0,0,38,11
uniform,3,97015,G25O,G25OR,S25,True,11,4452.492956454305,18262.464782271527,125,120,11,0,0,0,24,,11
uniform,3,97016,A0,G25OR,S25,True,12,5246.88353761297,22519.417688064856,116,103,12,0,0,0,0,42,12
uniform,3,97016,G25O,G25OR,S25,True,12,4604.716446811307,19083.58223405653,123,113,12,0,0,0,30,,12
uniform,3,97017,A0,G25OR,S25,True,15,5767.270926004918,25611.35463002459,97,85,15,0,0,0,0,52,15
uniform,3,97017,G25O,G25OR,S25,True,15,4531.5472204473135,19252.73610223657,102,96,15,0,0,0,35,,15
uniform,3,97018,A0,G25OR,S25,True,12,4950.691372911534,21428.45686455767,103,90,12,0,0,0,0,45,12
uniform,3,97018,G25O,G25OR,S25,True,12,4292.322941647331,17911.614708236666,109,105,12,0,0,0,32,,12
uniform,3,97019,A0,G25OR,S25,True,10,4718.777253766864,19768.88626883433,122,105,10,0,0,0,0,43,10
uniform,3,97019,G25O,G25OR,S25,True,10,3704.736935883548,14703.684679417744,120,114,10,0,0,0,24,,10
uniform,3,97020,A0,G25OR,S25,True,15,5690.757387634746,24838.786938173726,111,93,15,0,0,0,0,55,15
uniform,3,97020,G25O,G25OR,S25,True,15,4321.113243079548,17900.566215397736,112,106,15,0,0,0,34,,15
uniform,3,97021,A0,G25OR,S25,True,10,4959.765324477162,21113.8266223858,117,102,10,0,0,0,0,42,10
uniform,3,97021,G25O,G25OR,S25,True,10,4155.116634131355,17075.58317065678,116,110,10,0,0,0,24,,10
uniform,3,97022,A0,G25OR,S25,True,10,4535.984070738585,18774.920353692927,124,111,10,0,0,0,0,38,10
uniform,3,97022,G25O,G25OR,S25,True,10,3908.573951831763,15467.869759158812,129,120,10,0,0,0,26,,10
uniform,3,97023,A0,G25OR,S25,True,14,5299.886916741917,23184.434583709593,101,88,14,0,0,0,0,47,14
uniform,3,97023,G25O,G25OR,S25,True,14,4559.353603089368,19251.76801544684,108,99,14,0,0,0,33,,14
uniform,3,97024,A0,G25OR,S25,True,12,5320.420756798957,23182.1037839948,107,89,12,0,0,0,0,47,12
uniform,3,97024,G25O,G25OR,S25,True,12,4237.514660891325,17692.573304456626,108,99,12,0,0,0,29,,12
uniform,3,97025,A0,G25OR,S25,True,16,6246.242194501831,27331.210972509165,119,105,16,0,0,0,0,68,16
uniform,3,97025,G25O,G25OR,S25,True,16,4787.589566098258,20217.9478304913,113,99,16,0,0,0,43,,16
uniform,3,97026,A0,G25OR,S25,True,16,6898.6684427102655,29458.342213551416,107,92,116,100,0,1,0,59,16
uniform,3,97026,G25O,G25OR,S25,True,16,4116.0772500220655,17100.386250110318,104,96,16,0,0,0,37,,16
uniform,3,97027,A0,G25OR,S25,True,14,5357.842583965874,23154.21291982938,112,97,14,0,0,0,0,53,14
uniform,3,97027,G25O,G25OR,S25,True,14,4294.7671911187645,17728.835955593822,114,109,14,0,0,0,34,,14
uniform,3,97028,A0,G25OR,S25,True,12,5724.540207446219,24602.70103723108,127,109,12,0,0,0,0,51,12
uniform,3,97028,G25O,G25OR,S25,True,12,4076.9036679441765,16479.518339720882,121,116,12,0,0,0,26,,12
uniform,3,97029,A0,G25OR,S25,True,12,5466.53409750723,23112.670487536165,134,114,12,0,0,0,0,51,12
uniform,3,97029,G25O,G25OR,S25,True,12,4191.803364284611,16864.016821423058,128,119,12,0,0,0,26,,12
uniform,3,97030,A0,G25OR,S25,True,10,4953.121806031268,21205.609030156334,113,97,10,0,0,0,0,40,10
uniform,3,97030,G25O,G25OR,S25,True,10,3629.3060243913774,14576.530121956885,111,109,10,0,0,0,21,,10
uniform,3,97031,A0,G25OR,S25,True,14,7028.495862768543,29742.479313842825,113,97,130,116,0,1,0,58,14
uniform,3,97031,G25O,G25OR,S25,True,14,4051.1997057202775,16710.99852860139,107,104,14,0,0,0,31,,14
uniform,3,97032,A0,G25OR,S25,True,14,4898.094228279026,21165.471141395123,101,90,14,0,0,0,0,53,14
uniform,3,97032,G25O,G25OR,S25,True,14,3761.038614158393,15320.193070791964,105,99,15,1,0,0,36,,14
uniform,3,97033,A0,G25OR,S25,True,14,5708.221971227046,24991.10985613523,109,95,14,0,0,0,0,46,14
uniform,3,97033,G25O,G25OR,S25,True,14,4646.614486501852,19458.07243250927,114,112,15,1,0,0,30,,14
uniform,3,97034,A0,G25OR,S25,True,15,5530.55659978853,24177.782998942654,106,90,15,0,0,0,0,59,15
uniform,3,97034,G25O,G25OR,S25,True,15,4195.615772428195,17343.07886214098,109,107,15,0,0,0,40,,15
uniform,3,97035,A0,G25OR,S25,True,15,5230.741761560745,22498.708807803738,112,96,15,0,0,0,0,53,15
uniform,3,97035,G25O,G25OR,S25,True,15,4349.100978136163,17795.50489068081,120,115,15,0,0,0,39,,15
uniform,3,97036,A0,G25OR,S25,True,15,5680.256336807389,25266.28168403694,94,82,15,0,0,0,0,53,15
uniform,3,97036,G25O,G25OR,S25,True,15,4984.277487075577,21636.387435377877,98,92,15,0,0,0,35,,15
uniform,3,97037,A0,G25OR,S25,True,12,5592.664970834627,24458.32485417314,110,91,12,0,0,0,0,51,12
uniform,3,97037,G25O,G25OR,S25,True,12,4300.042673818508,18015.213369092544,107,102,12,0,0,0,29,,12
uniform,3,97038,A0,G25OR,S25,True,11,4694.603111198761,20093.015555993807,106,91,11,0,0,0,0,45,11
uniform,3,97038,G25O,G25OR,S25,True,11,3884.897377689512,15964.486888447564,107,102,11,0,0,0,28,,11
uniform,3,97039,A0,G25OR,S25,True,15,6062.438945140346,26902.19472570173,103,92,15,0,0,0,0,55,15
uniform,3,97039,G25O,G25OR,S25,True,15,4008.3960829820608,16471.980414910297,107,104,15,0,0,0,37,,15
uniform,3,97040,A0,G25OR,S25,True,11,4920.570916073128,21092.85458036564,110,97,11,0,0,0,0,39,11
uniform,3,97040,G25O,G25OR,S25,True,11,4176.144231364912,17150.721156824562,116,111,11,0,0,0,27,,11
uniform,3,97041,A0,G25OR,S25,True,15,5675.909795724601,24614.548978623014,115,103,15,0,0,0,0,59,15
uniform,3,97041,G25O,G25OR,S25,True,15,4464.514066289204,18537.57033144602,115,107,15,0,0,0,37,,15
uniform,3,97042,A0,G25OR,S25,True,13,5567.639776715009,24198.19888357503,114,93,13,0,0,0,0,58,13
uniform,3,97042,G25O,G25OR,S25,True,13,3610.7454356123176,14598.727178061587,105,101,13,0,0,0,29,,13
uniform,3,97043,A0,G25OR,S25,True,16,5436.019128798159,23755.09564399079,103,90,16,0,0,0,0,59,16
uniform,3,97043,G25O,G25OR,S25,True,16,4413.0089697218555,18425.044848609265,108,102,18,2,0,0,41,,16
uniform,3,97044,A0,G25OR,S25,True,12,6478.454995706086,26972.274978530524,121,107,116,104,0,1,0,54,12
uniform,3,97044,G25O,G25OR,S25,True,12,3877.7497509603522,15668.74875480176,115,109,12,0,0,0,29,,12
uniform,3,97045,A0,G25OR,S25,True,14,5398.737930169175,23258.689650845874,115,102,14,0,0,0,0,58,14
uniform,3,97045,G25O,G25OR,S25,True,14,4024.3155147305893,16546.57757365294,108,105,14,0,0,0,30,,14
uniform,3,97046,A0,G25OR,S25,True,11,4894.43613652222,20942.18068261109,111,96,11,0,0,0,0,45,11
uniform,3,97046,G25O,G25OR,S25,True,11,3478.5393373826555,13677.696686913278,115,113,11,0,0,0,31,,11
uniform,3,97047,A0,G25OR,S25,True,14,5191.5509355060385,22652.754677530185,101,86,14,0,0,0,0,49,14
uniform,3,97047,G25O,G25OR,S25,True,14,4467.3956092537255,18681.97804626863,111,106,14,0,0,0,38,,14
uniform,3,97048,A0,G25OR,S25,True,16,6342.72061635499,28018.60308177494,113,94,16,0,0,0,0,72,16
uniform,3,97048,G25O,G25OR,S25,True,16,3960.791944426231,16578.95972213116,95,90,16,0,0,0,35,,16
uniform,3,97049,A0,G25OR,S25,True,10,4773.959937190437,20149.79968595218,118,104,10,0,0,0,0,40,10
uniform,3,97049,G25O,G25OR,S25,True,10,3944.6701932955893,16003.350966477949,116,114,10,0,0,0,21,,10
uniform,4,97000,A0,G25OR,S25,True,13,13675.00417134274,55845.02085671362,389,328,69,56,0,1,0,96,13
uniform,4,97000,G25O,G25OR,S25,True,13,6733.312017635859,25076.560088179296,278,263,13,0,0,0,42,,13
uniform,4,97001,A0,G25OR,S25,True,12,11186.028553709244,45455.1427685462,346,305,12,0,0,0,0,83,12
uniform,4,97001,G25O,G25OR,S25,True,12,7136.875546829909,26254.377734149555,306,296,12,0,0,0,36,,12
uniform,4,97002,A0,G25OR,S25,True,12,15906.445859311763,64287.22929655863,419,354,192,180,0,2,0,92,12
uniform,4,97002,G25O,G25OR,S25,True,12,7572.37932280592,28011.896614029607,320,310,12,0,0,0,39,,12
uniform,4,97003,A0,G25OR,S25,True,12,12323.603978048022,51318.019890240066,329,289,34,22,0,1,0,89,12
uniform,4,97003,G25O,G25OR,S25,True,12,7168.343199648084,27611.71599824042,266,256,12,0,0,0,43,,12
uniform,4,97004,A0,G25OR,S25,True,10,14036.527208949728,55142.636044748455,415,367,182,172,0,2,0,72,10
uniform,4,97004,G25O,G25OR,S25,True,10,7487.081863778603,26895.40931889302,345,333,10,0,0,0,28,,10
uniform,4,97005,A0,G25OR,S25,True,13,13113.087804106402,54740.43902053197,336,288,57,44,0,2,0,85,13
uniform,4,97005,G25O,G25OR,S25,True,13,7563.272673986703,28811.363369933508,291,281,13,0,0,0,38,,13
