scenario,mode,seed,coverage,sources,success,cleared,virtual_time_s,distance_m,solver_failures,optical_fallbacks
cluster,3,98000,S25,11,True,11,3134.3608464433687,12326.804232216846,0,0
cluster,3,98000,S21,11,True,11,3134.3608464433687,12326.804232216846,0,0
cluster,3,98001,S25,12,True,12,2705.4359604287865,10147.17980214393,0,0
cluster,3,98001,S21,12,True,12,2705.4359604287865,10147.17980214393,0,0
cluster,3,98002,S25,15,True,15,2638.766215285415,10073.831076427074,0,0
cluster,3,98002,S21,15,True,15,2638.766215285415,10073.831076427074,0,0
cluster,3,98003,S25,12,True,12,2787.97057080867,10724.852854043347,0,0
cluster,3,98003,S21,12,True,12,2787.97057080867,10724.852854043347,0,0
cluster,3,98004,S25,10,True,10,2965.5433121818305,11387.716560909148,0,0
cluster,3,98004,S21,10,True,10,2965.5433121818305,11387.716560909148,0,0
cluster,3,98005,S25,15,True,15,3017.2505867088225,12046.252933544112,0,0
cluster,3,98005,S21,15,True,15,3017.2505867088225,12046.252933544112,0,0
cluster,3,98006,S25,15,True,15,2797.674610660279,11048.373053301397,0,0
cluster,3,98006,S21,15,True,15,2797.674610660279,11048.373053301397,0,0
cluster,3,98007,S25,12,True,12,2829.221423164221,10766.1071158211,0,0
cluster,3,98007,S21,12,True,12,2829.221423164221,10766.1071158211,0,0
cluster,3,98008,S25,14,True,14,2758.079958735681,10510.399793678405,0,0
cluster,3,98008,S21,14,True,14,2758.079958735681,10510.399793678405,0,0
cluster,3,98009,S25,13,True,13,3039.914505285187,11739.572526425938,0,0
cluster,3,98009,S21,13,True,13,3039.914505285187,11739.572526425938,0,0
cluster,3,98010,S25,10,True,10,2939.4824610930214,11167.412305465112,0,0
cluster,3,98010,S21,10,True,10,2939.4824610930214,11167.412305465112,0,0
cluster,3,98011,S25,16,True,16,1686.648251244228,6238.241256221138,0,0
cluster,3,98011,S21,16,True,16,1686.648251244228,6238.241256221138,0,0
cluster,3,98012,S25,13,True,13,3309.809231327841,13249.046156639211,0,0
cluster,3,98012,S21,13,True,13,3309.809231327841,13249.046156639211,0,0
cluster,3,98013,S25,12,True,12,2677.1511047153413,10195.755523576701,0,0
cluster,3,98013,S21,12,True,12,2677.1511047153413,10195.755523576701,0,0
cluster,3,98014,S25,12,True,12,2823.1508456280603,10590.754228140306,0,0
cluster,3,98014,S21,12,True,12,2823.1508456280603,10590.754228140306,0,0
cluster,3,98015,S25,11,True,11,3000.0314500362897,11640.15725018145,0,0
cluster,3,98015,S21,11,True,11,3000.0314500362897,11640.15725018145,0,0
cluster,3,98016,S25,12,True,12,2783.828651897905,10514.143259489521,0,0
cluster,3,98016,S21,12,True,12,2783.828651897905,10514.143259489521,0,0
cluster,3,98017,S25,13,True,13,2983.7543331680026,11458.771665840017,0,0
cluster,3,98017,S21,13,True,13,2983.7543331680026,11458.771665840017,0,0
cluster,3,98018,S25,11,True,11,3137.960025518131,12279.800127590655,0,0
cluster,3,98018,S21,11,True,11,3137.960025518131,12279.800127590655,0,0
cluster,3,98019,S25,13,True,13,2915.6270497063697,11323.13524853185,0,0
cluster,3,98019,S21,13,True,13,2915.6270497063697,11323.13524853185,0,0
cluster,4,98000,S25,11,True,11,6111.203911182651,21536.01955591326,0,0
cluster,4,98000,S21,11,True,11,5887.117905743455,22055.58952871726,0,0
cluster,4,98001,S25,12,True,12,6064.10008706119,22295.50043530595,0,0
cluster,4,98001,S21,12,True,12,5896.645397240053,22733.22698620026,0,0
cluster,4,98002,S25,15,True,15,5741.283822899071,22946.419114495355,0,0
cluster,4,98002,S21,15,True,15,5694.939759170555,22729.698795852764,0,0
cluster,4,98003,S25,12,True,12,6054.214150832211,22511.070754161054,0,0
cluster,4,98003,S21,12,True,12,5774.122532081078,21865.61266040539,0,0
cluster,4,98004,S25,10,True,10,6123.6587316660625,20958.29365833032,0,0
cluster,4,98004,S21,10,True,10,6054.127255128158,22495.636275640798,0,0
cluster,4,98005,S25,15,True,15,6230.300277593327,24251.50138796665,0,0
cluster,4,98005,S21,15,True,15,6053.186279014391,23950.93139507195,0,0
cluster,4,98006,S25,15,True,15,5997.397604840446,23071.988024202215,0,0
cluster,4,98006,S21,15,True,15,5718.447362951123,22977.23681475561,0,0
cluster,4,98007,S25,12,True,12,5948.035126711064,21230.175633555315,0,0
cluster,4,98007,S21,12,True,12,5991.050542976371,22720.25271488185,0,0
cluster,4,98008,S25,14,True,14,5849.391029433567,22426.95514716783,0,0
cluster,4,98008,S21,14,True,14,5885.398005059755,23271.99002529877,0,0
cluster,4,98009,S25,13,True,13,6082.319624328646,22666.598121643234,0,0
cluster,4,98009,S21,13,True,13,5678.106903358597,21195.534516792985,0,0
cluster,4,98010,S25,10,True,10,6245.891286158612,22469.456430793063,0,0
cluster,4,98010,S21,10,True,10,6050.919268287034,22734.596341435168,0,0
cluster,4,98011,S25,16,True,16,2319.6743263302,8888.371631651,0,0
cluster,4,98011,S21,16,True,16,2793.243216394376,10686.21608197188,0,0
cluster,4,98012,S25,13,True,13,6155.536201900185,23397.681009500928,0,0
