mode,seed,sources,orig_v,orig_dist,first_noncoverage_index,undiscovered_true_at_first,noncoverage_stops,coverage_tasks_after_first,coverage_visits_after_first,unknown_opportunities,shadow_signal_events,shadow_absent_channels,valid_deleted_tasks,valid_whole_waypoints,valid_partial_waypoints,valid_dist_saved,added_shadow_s,valid_new_v,valid_net_s_per_source,valid_recovery_of_B_minus_O0,signal_only_added_s,signal_only_net_s_per_source,gross_deleted_tasks,gross_whole_waypoints,gross_dist_saved,gross_new_v,gross_net_s_per_source,gross_recovery_of_B_minus_O0
3,160000,11,4271.700966525475,17148.504832627375,58,6,34,51,4,40,0,0,0,0,0,0.0,240.0,4511.700966525475,-21.818181818181817,-0.12452630576932554,0.0,0.0,51,4,321.539030917349,3902.3931603420056,33.57343692576999,0.19161890331583994
3,160001,12,4258.876907934016,17589.384539670078,34,3,30,51,5,51,0,0,0,0,0,0.0,305.9999999999991,4564.876907934015,-25.499999999999925,-0.18661585274468737,0.0,0.0,51,5,0.0,3952.8769079340154,25.500000000000075,0.18661585274468845
3,160002,11,3919.9252769673576,15994.626384836793,33,2,28,49,5,49,0,0,0,0,0,0.0,294.0000000000009,4213.9252769673585,-26.72727272727281,-0.2564686110236855,0.0,0.0,49,5,0.0,3625.925276967358,26.727272727272688,0.25646861102368435
3,160003,15,5023.444494703872,20712.22247351936,55,8,52,45,4,34,0,0,0,0,0,0.0,203.9999999999991,5227.444494703871,-13.59999999999994,-0.1006121968325758,0.0,0.0,45,4,321.53903091734537,4690.136688520402,22.220520412231355,0.16438642451747792
3,160004,11,3812.8793233802294,15329.396616901151,33,3,29,53,5,53,0,0,0,0,0,0.0,317.99999999999955,4130.879323380229,-28.909090909090867,-0.18837962226151397,0.0,0.0,53,5,0.0,3492.8793233802294,29.09090909090909,0.18956439976001432
3,160005,15,4103.404157832366,16927.020789161827,30,4,33,40,5,40,0,0,0,0,0,0.0,239.9999999999991,4343.404157832365,-15.99999999999994,-0.13313164546051043,0.0,0.0,40,5,0.0,3862.404157832366,16.066666666666666,0.13368636064992973
3,160006,11,4500.161350234317,18090.806751171593,105,1,37,10,1,10,0,0,0,0,0,0.0,60.0,4560.161350234317,-5.454545454545454,-0.03109896627686309,0.0,0.0,10,1,0.0,4440.161350234317,5.454545454545454,0.03109896627686309
3,160007,10,3727.660477858122,15083.30238929061,35,3,22,56,5,56,0,0,0,0,0,0.0,336.0,4063.660477858122,-33.6,-0.3411738072569423,0.0,0.0,56,5,0.0,3391.660477858122,33.6,0.3411738072569423
3,160008,10,3840.1971684467367,15520.985842233686,33,3,24,57,5,57,0,0,0,0,0,0.0,341.99999999999955,4182.197168446736,-34.19999999999995,-0.24965521515476727,0.0,0.0,57,5,0.0,3497.1971684467367,34.3,0.25038520116399204
3,160009,15,4703.666545602521,19193.332728012603,57,9,44,48,4,36,0,0,0,0,0,0.0,216.0,4919.666545602521,-14.4,-0.10635479811745276,0.0,0.0,48,4,321.539030917349,4352.358739419052,23.420520412231294,0.17297810557281532
3,160010,12,3960.887789463189,15924.438947315943,37,7,29,57,5,57,0,0,0,0,0,0.0,341.99999999999955,4302.887789463189,-28.49999999999996,-0.20849248719383506,0.0,0.0,57,5,0.0,3618.8877894631887,28.50000000000004,0.20849248719383565
3,160011,12,4216.160064771495,17485.800323857475,34,5,28,52,5,52,0,0,0,0,0,0.0,312.0,4528.160064771495,-26.0,-0.204054207933534,0.0,0.0,52,5,0.0,3904.1600647714945,26.00000000000004,0.2040542079335343
3,160012,16,5279.549465739429,21872.747328697144,56,10,55,43,4,43,0,0,0,0,0,0.0,257.9999999999991,5537.549465739428,-16.124999999999943,-0.1352898733133477,0.0,0.0,43,4,0.0,5021.549465739429,16.125,0.13528987331334819
