kind,mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,switches,failed_clear,optical_fallbacks,solver_failures,extra_measurements,dynamic_absent_channels,dynamic_absent_cells,wall_s
uniform,3,96000,G25OR,13,True,13,4085.000460266496,16895.002301332475,107,106,0,0,0,30,0,0,0.0838935375213623
uniform,3,96000,Full_noQ4,13,True,13,4072.9960829616793,16894.980414808393,105,104,0,0,0,28,0,0,0.12901711463928223
uniform,3,96000,Full_Q4,13,True,13,4072.9960829616793,16894.980414808393,105,104,0,0,0,28,0,0,0.12428665161132812
uniform,3,96001,G25OR,16,True,16,4569.561748872855,19342.808744364276,105,96,0,0,0,36,0,0,0.08913254737854004
uniform,3,96001,Full_noQ4,16,True,16,5037.792368798036,21423.961843990182,113,108,0,0,0,36,0,0,0.13885140419006348
uniform,3,96001,Full_Q4,16,True,16,5037.792368798036,21423.961843990182,113,108,0,0,0,36,0,0,0.1369304656982422
uniform,3,96002,G25OR,14,True,14,4312.289650725545,17846.44825362773,113,108,0,0,0,33,0,0,0.08465027809143066
uniform,3,96002,Full_noQ4,14,True,14,4118.799229384898,16728.9961469245,118,113,0,0,0,33,0,0,0.12204980850219727
uniform,3,96002,Full_Q4,14,True,14,4118.799229384898,16728.9961469245,118,113,0,0,0,33,0,0,0.11892986297607422
uniform,3,96003,G25OR,16,True,16,4443.171351773414,18815.856758867074,100,97,1,0,0,31,0,0,0.0979757308959961
uniform,3,96003,Full_noQ4,16,True,16,4634.679804017766,19738.39902008883,101,99,1,0,0,31,0,0,0.13841938972473145
uniform,3,96003,Full_Q4,16,True,16,4634.679804017766,19738.39902008883,101,99,1,0,0,31,0,0,0.1378169059753418
uniform,3,96004,G25OR,11,True,11,3858.975666391448,15704.878331957241,111,108,0,0,0,28,0,0,0.07964491844177246
uniform,3,96004,Full_noQ4,11,True,11,3729.186349935041,15240.931749675205,105,101,0,0,0,25,0,0,0.1111762523651123
uniform,3,96004,Full_Q4,11,True,11,3729.186349935041,15240.931749675205,105,101,0,0,0,25,0,0,0.1149895191192627
uniform,3,96005,G25OR,12,True,12,4176.108149594348,17165.540747971743,115,108,0,0,0,27,0,0,0.0712137222290039
uniform,3,96005,Full_noQ4,12,True,12,4437.481276255544,18467.406381277717,115,109,0,0,0,27,0,0,0.11958813667297363
uniform,3,96005,Full_Q4,12,True,12,4437.481276255544,18467.406381277717,115,109,0,0,0,27,0,0,0.1185140609741211
uniform,3,96006,G25OR,12,True,12,4120.511199816449,17107.555999082248,107,104,0,0,0,30,0,0,0.08224701881408691
uniform,3,96006,Full_noQ4,12,True,12,4165.92535669654,17299.626783482698,108,106,0,0,0,27,0,0,0.13197112083435059
uniform,3,96006,Full_Q4,12,True,12,4165.92535669654,17299.626783482698,108,106,0,0,0,27,0,0,0.13005471229553223
uniform,3,96007,G25OR,16,True,16,3716.720996900437,15173.604984502177,102,92,0,0,0,37,0,0,0.08958554267883301
uniform,3,96007,Full_noQ4,16,True,16,4053.535346922643,16377.676734613206,118,108,0,0,0,40,0,0,0.16320157051086426
uniform,3,96007,Full_Q4,16,True,16,4053.535346922643,16377.676734613206,118,108,0,0,0,40,0,0,0.14557743072509766
uniform,3,96008,G25OR,11,True,11,3822.6838419263718,15528.419209631857,111,107,0,0,0,26,0,0,0.06851577758789062
uniform,3,96008,Full_noQ4,11,True,11,3972.26554484146,16246.327724207304,112,108,0,0,0,24,0,0,0.10395240783691406
uniform,3,96008,Full_Q4,11,True,11,3972.26554484146,16246.327724207304,112,108,0,0,0,24,0,0,0.11312150955200195
uniform,3,96009,G25OR,16,True,16,3839.1271773910953,16090.635886955475,91,86,0,0,0,36,0,0,0.0921943187713623
uniform,3,96009,Full_noQ4,16,True,16,3999.1743801751795,16565.871900875907,102,96,0,0,0,39,0,0,0.16033506393432617
uniform,3,96009,Full_Q4,16,True,16,3999.1743801751795,16565.871900875907,102,96,0,0,0,39,0,0,0.16332221031188965
uniform,3,96010,G25OR,13,True,13,4431.126125022089,18295.630625110447,119,112,0,0,0,32,0,0,0.08453989028930664
uniform,3,96010,Full_noQ4,13,True,13,4223.867749183361,17594.338745916808,108,100,0,0,0,33,0,0,0.1255049705505371
uniform,3,96010,Full_Q4,13,True,13,4223.867749183361,17594.338745916808,108,100,0,0,0,33,0,0,0.11424088478088379
uniform,3,96011,G25OR,15,True,15,4532.666619161984,18993.333095809925,110,109,0,0,0,37,0,0,0.11118125915527344
uniform,3,96011,Full_noQ4,15,True,15,4187.116639877272,17300.58319938636,109,107,0,0,0,34,0,0,0.13612771034240723
uniform,3,96011,Full_Q4,15,True,15,4187.116639877272,17300.58319938636,109,107,0,0,0,34,0,0,0.25199389457702637
uniform,3,96012,G25OR,14,True,14,4363.610225671392,18393.051128356954,103,100,0,0,0,32,0,0,0.29197025299072266
uniform,3,96012,Full_noQ4,14,True,14,4131.679103671232,17143.395518356152,106,103,0,0,0,32,0,0,0.41320204734802246
uniform,3,96012,Full_Q4,14,True,14,4131.679103671232,17143.395518356152,106,103,0,0,0,32,0,0,0.3343961238861084
uniform,3,96013,G25OR,16,True,16,4287.448171142521,18107.24085571259,99,91,0,0,0,35,0,0,0.2926065921783447
uniform,3,96013,Full_noQ4,16,True,16,4629.343213528996,19931.716067644982,95,88,0,0,0,33,0,0,0.3949892520904541
uniform,3,96013,Full_Q4,16,True,16,4629.343213528996,19931.716067644982,95,88,0,0,0,33,0,0,0.166823148727417
uniform,3,96014,G25OR,11,True,11,4605.305682465111,19011.528412325555,126,118,0,0,0,28,0,0,0.07974720001220703
uniform,3,96014,Full_noQ4,11,True,11,4500.101320644893,18575.506603224465,123,115,0,0,0,27,0,0,0.11270785331726074
uniform,3,96014,Full_Q4,11,True,11,4500.101320644893,18575.506603224465,123,115,0,0,0,27,0,0,0.14176416397094727
uniform,4,96000,G25OR,13,True,13,7631.501434208324,28942.507171041612,299,283,0,0,0,50,0,0,0.13835644721984863
uniform,4,96000,Full_noQ4,13,True,13,7631.501434208324,28942.507171041612,299,283,0,0,0,50,0,0,0.7130603790283203
uniform,4,96000,Full_Q4,13,True,13,7631.501434208324,28942.507171041612,299,283,0,0,0,50,0,1257,4.725733757019043
uniform,4,96001,G25OR,16,True,16,6091.883726783491,23914.418633917452,207,194,0,0,0,54,0,0,0.1462259292602539
uniform,4,96001,Full_noQ4,16,True,16,5213.08520516623,20355.42602583115,179,167,0,0,0,45,0,0,0.705073356628418
uniform,4,96001,Full_Q4,16,True,16,5213.08520516623,20355.42602583115,179,167,0,0,0,45,0,525,1.3502249717712402
uniform,4,96002,G25OR,14,True,14,7041.699581481578,27033.497907407895,262,255,0,0,0,51,0,0,0.12403488159179688
uniform,4,96002,Full_noQ4,14,True,14,7479.025645324871,29270.12822662435,261,250,0,0,0,46,0,0,1.0734624862670898
uniform,4,96002,Full_Q4,14,True,14,7479.025645324871,29270.12822662435,261,250,0,0,0,46,0,1035,3.448394536972046
uniform,4,96003,G25OR,16,True,16,5386.410328533729,21082.051642668626,183,175,0,0,0,45,0,0,0.12510228157043457
uniform,4,96003,Full_noQ4,16,True,16,7026.06039615201,28100.301980760047,223,211,0,0,0,48,0,0,0.8201742172241211
uniform,4,96003,Full_Q4,16,True,16,7026.06039615201,28100.301980760047,223,211,0,0,0,48,0,806,1.9394667148590088
uniform,4,96004,G25OR,11,True,11,6833.491859419943,24672.45929709971,309,299,0,0,0,37,0,0,0.10321307182312012
uniform,4,96004,Full_noQ4,11,True,11,7030.209702817658,25386.048514088296,318,308,0,0,0,36,0,0,0.5019974708557129
uniform,4,96004,Full_Q4,11,True,11,7030.209702817658,25386.048514088296,318,308,0,0,0,36,0,1514,3.011674165725708
uniform,4,96005,G25OR,12,True,12,7446.59640685123,28052.982034256158,297,291,0,0,0,47,0,0,0.10165548324584961
uniform,4,96005,Full_noQ4,12,True,12,7338.387115627887,27111.935578139444,311,301,0,0,0,45,0,0,0.5943090915679932
uniform,4,96005,Full_Q4,12,True,12,7338.387115627887,27111.935578139444,311,301,0,0,0,45,0,1353,3.6958372592926025
uniform,4,96006,G25OR,12,True,12,7202.754486398356,26693.772431991776,302,294,0,0,0,42,0,0,0.11480259895324707
uniform,4,96006,Full_noQ4,12,True,12,7353.453561369823,27497.267806849108,300,294,0,0,0,40,0,0,0.5837531089782715
uniform,4,96006,Full_Q4,12,True,12,7353.453561369823,27497.267806849108,300,294,0,0,0,40,0,1356,2.294576406478882
uniform,4,96007,G25OR,16,True,16,6950.063582096764,26830.317910483813,253,239,0,0,0,59,0,0,0.14374661445617676
uniform,4,96007,Full_noQ4,16,True,16,7444.9180497892385,28504.590248946202,279,269,0,0,0,59,0,0,0.8381345272064209
uniform,4,96007,Full_Q4,16,True,16,7444.9180497892385,28504.590248946202,279,269,0,0,0,59,0,1082,5.441971302032471
uniform,4,96008,G25OR,11,True,11,7120.945638081072,26549.728190405363,295,281,0,0,0,37,0,0,0.11608290672302246
uniform,4,96008,Full_noQ4,11,True,11,7334.191985829003,27705.959929145025,293,273,0,0,0,44,0,0,0.7124922275543213
uniform,4,96008,Full_Q4,11,True,11,7334.191985829003,27705.959929145025,293,273,0,0,0,44,0,1406,2.0553650856018066
uniform,4,96009,G25OR,16,True,16,6849.23703340916,26911.185167045805,233,222,0,0,0,62,0,0,0.16845941543579102
uniform,4,96009,Full_noQ4,16,True,16,5764.561886975664,22462.80943487832,200,192,0,0,0,62,0,0,1.4841876029968262
uniform,4,96009,Full_Q4,16,True,16,5764.561886975664,22462.80943487832,200,192,0,0,0,62,0,490,2.4046452045440674
uniform,4,96010,G25OR,13,True,13,6849.5482471392725,25742.74123569637,274,266,0,0,0,53,0,0,0.12313342094421387
uniform,4,96010,Full_noQ4,13,True,13,6581.607545216452,24033.037726082264,287,275,0,0,0,42,0,0,0.593883752822876
uniform,4,96010,Full_Q4,13,True,13,6581.607545216452,24033.037726082264,287,275,0,0,0,42,0,1239,3.559680938720703
uniform,4,96011,G25OR,15,True,15,6927.374235843663,27486.871179218313,227,220,0,0,0,47,0,0,0.15360760688781738
uniform,4,96011,Full_noQ4,15,True,15,6554.479843877831,25632.399219389157,227,218,0,0,0,50,0,0,0.8464226722717285
uniform,4,96011,Full_Q4,15,True,15,6554.479843877831,25632.399219389157,227,218,0,0,0,50,0,846,1.9116380214691162
uniform,4,96012,G25OR,14,True,14,6911.918278714944,25799.59139357473,282,272,0,0,0,45,0,0,0.14167451858520508
uniform,4,96012,Full_noQ4,14,True,14,7014.945607737214,26854.728038686084,264,254,0,0,0,49,0,0,0.714169979095459
uniform,4,96012,Full_Q4,14,True,14,7014.945607737214,26854.728038686084,264,254,0,0,0,49,0,1141,3.253843069076538
uniform,4,96013,G25OR,16,True,16,7205.492247677376,28752.46123838688,231,220,0,0,0,52,0,0,0.14576172828674316
uniform,4,96013,Full_noQ4,16,True,16,6830.165808011425,26780.82904005713,234,224,0,0,0,51,0,0,1.2832682132720947
uniform,4,96013,Full_Q4,16,True,16,6830.165808011425,26780.82904005713,234,224,0,0,0,51,0,784,1.6310665607452393
uniform,4,96014,G25OR,11,True,11,7144.08126584645,26225.406329232253,309,299,0,0,0,30,0,0,0.10669994354248047
uniform,4,96014,Full_noQ4,11,True,11,7031.520615119814,25692.60307559908,308,298,0,0,0,35,0,0,0.5508325099945068
uniform,4,96014,Full_Q4,11,True,11,7031.520615119814,25692.60307559908,308,298,0,0,0,35,0,1449,4.221071004867554
edge,3,96000,G25OR,13,True,13,4295.877234861742,17284.38617430871,131,119,0,0,0,25,0,0,0.08395171165466309
edge,3,96000,Full_noQ4,13,True,13,4295.877234861742,17284.38617430871,131,119,0,0,0,25,0,0,0.28275036811828613
edge,3,96000,Full_Q4,13,True,13,4295.877234861742,17284.38617430871,131,119,0,0,0,25,0,0,0.21622085571289062
edge,3,96001,G25OR,16,True,16,5061.992997511307,20989.96498755653,134,114,0,0,0,36,0,0,0.2645294666290283
edge,3,96001,Full_noQ4,16,True,16,5061.992997511307,20989.96498755653,134,114,0,0,0,36,0,0,0.26378488540649414
edge,3,96001,Full_Q4,16,True,16,5061.992997511307,20989.96498755653,134,114,0,0,0,36,0,0,0.3256993293762207
edge,3,96002,G25OR,14,True,14,4550.205842127756,18571.02921063877,130,116,0,0,0,32,0,0,0.1900944709777832
edge,3,96002,Full_noQ4,14,True,14,4712.546922736728,19302.73461368364,133,117,0,0,0,34,0,0,0.22147178649902344
edge,3,96002,Full_Q4,14,True,14,4712.546922736728,19302.73461368364,133,117,0,0,0,34,0,0,0.2823636531829834
edge,3,96003,G25OR,16,True,16,4693.961424254904,19159.807121274534,133,117,0,0,0,38,0,0,0.28963351249694824
edge,3,96003,Full_noQ4,16,True,16,4693.961424254904,19159.807121274534,133,117,0,0,0,38,0,0,0.2923102378845215
edge,3,96003,Full_Q4,16,True,16,4693.961424254904,19159.807121274534,133,117,0,0,0,38,0,0,0.272533655166626
edge,3,96004,G25OR,11,True,11,4760.718136600954,19233.59068300477,146,129,0,0,0,26,0,0,0.1999804973602295
edge,3,96004,Full_noQ4,11,True,11,4760.718136600954,19233.59068300477,146,129,0,0,0,26,0,0,0.23657870292663574
edge,3,96004,Full_Q4,11,True,11,4760.718136600954,19233.59068300477,146,129,0,0,0,26,0,0,0.21891498565673828
edge,3,96005,G25OR,12,True,12,4478.816790948966,18479.083954744834,123,108,0,0,0,29,0,0,0.1542806625366211
edge,3,96005,Full_noQ4,12,True,12,4478.816790948966,18479.083954744834,123,108,0,0,0,29,0,0,0.09533286094665527
edge,3,96005,Full_Q4,12,True,12,4478.816790948966,18479.083954744834,123,108,0,0,0,29,0,0,0.19104647636413574
edge,3,96006,G25OR,12,True,12,4463.014518828613,18090.072594143072,133,120,0,0,0,27,0,0,0.28125715255737305
edge,3,96006,Full_noQ4,12,True,12,4478.323654674783,18021.61827337391,138,124,0,0,0,27,0,0,0.39151716232299805
edge,3,96006,Full_Q4,12,True,12,4478.323654674783,18021.61827337391,138,124,0,0,0,27,0,0,0.44838762283325195
edge,3,96007,G25OR,16,True,16,4846.368042972094,19956.840214860473,133,110,0,0,0,38,0,0,0.6017532348632812
edge,3,96007,Full_noQ4,16,True,16,4846.368042972094,19956.840214860473,133,110,0,0,0,38,0,0,0.4117424488067627
edge,3,96007,Full_Q4,16,True,16,4846.368042972094,19956.840214860473,133,110,0,0,0,38,0,0,0.5637476444244385
edge,3,96008,G25OR,11,True,11,4618.193063851148,18935.965319255734,132,116,0,0,0,26,0,0,0.29181909561157227
edge,3,96008,Full_noQ4,11,True,11,4664.826626500061,18824.133132500298,143,130,0,0,0,27,0,0,0.36885523796081543
edge,3,96008,Full_Q4,11,True,11,4664.826626500061,18824.133132500298,143,130,0,0,0,27,0,0,0.3083479404449463
edge,3,96009,G25OR,16,True,16,5001.857252863095,20664.286264315477,135,114,0,0,0,38,0,0,0.22453045845031738
edge,3,96009,Full_noQ4,16,True,16,5001.857252863095,20664.286264315477,135,114,0,0,0,38,0,0,0.277557373046875
