kind,mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,switches,failed_clear,solver_failures,optical_fallbacks,opportunistic_measure_count,opportunistic_direction_count,opportunistic_no_signal_count,legs_selected,clear_ready_count,wall_s
uniform,4,99000,G25OR-S21,10,True,10,6818.317351484517,25746.586757422578,271,264,0,0,0,0,0,0,0,0,0.07309508323669434
uniform,4,99000,G21A,10,True,10,6674.052931135215,25185.264655676066,268,247,0,0,0,10,9,1,7,0,0.32261085510253906
uniform,4,99001,G25OR-S21,10,True,10,7022.368806097262,26256.84403048631,289,276,0,0,0,0,0,0,0,0,0.06273531913757324
uniform,4,99001,G21A,10,True,10,7833.227199259498,30596.13599629749,283,249,0,0,0,9,6,3,6,0,0.22745847702026367
uniform,4,99002,G25OR-S21,10,True,10,6802.871337540661,25559.356687703308,275,266,0,0,0,0,0,0,0,0,0.05581259727478027
uniform,4,99002,G21A,10,True,10,7262.593634279699,27797.96817139849,279,258,0,0,0,10,8,2,8,0,0.22714829444885254
uniform,4,99003,G25OR-S21,14,True,14,6652.555177645509,26227.775888227545,224,217,0,0,0,0,0,0,0,0,0.08308839797973633
uniform,4,99003,G21A,14,True,14,6938.951359174865,28094.756795874324,211,195,0,0,0,14,14,0,9,0,0.3504171371459961
uniform,4,99004,G25OR-S21,11,True,11,7127.057289632349,27600.28644816174,261,247,0,0,0,0,0,0,0,0,0.08166265487670898
uniform,4,99004,G21A,11,True,11,6993.929268529887,27389.646342649427,248,221,0,0,0,10,9,1,5,0,0.26774048805236816
uniform,4,99005,G25OR-S21,14,True,14,6994.733883760746,27898.669418803725,225,220,0,0,0,0,0,0,0,0,0.09887313842773438
uniform,4,99005,G21A,14,True,14,7194.045228202261,29155.2261410113,219,198,0,0,0,12,11,1,7,0,0.3387784957885742
uniform,4,99006,G25OR-S21,11,True,11,7068.187740963874,27510.938704819368,253,246,0,0,0,0,0,0,0,0,0.07205319404602051
uniform,4,99006,G21A,11,True,11,7113.607800334975,27828.039001674875,252,233,0,0,0,10,10,0,7,0,0.24473333358764648
uniform,4,99007,G25OR-S21,13,True,13,6656.619405657163,25828.09702828581,239,231,0,0,0,0,0,0,0,0,0.07667303085327148
uniform,4,99007,G21A,13,True,13,7263.888017036283,28984.440085181384,237,217,0,0,0,13,11,2,7,0,0.33117008209228516
uniform,4,99008,G25OR-S21,13,True,13,7061.804289664659,27324.021448323307,257,247,0,0,0,0,0,0,0,0,0.08412051200866699
uniform,4,99008,G21A,13,True,13,6945.072312588225,27255.361562941136,241,224,0,0,0,13,11,2,8,0,0.28003716468811035
uniform,4,99009,G25OR-S21,15,True,15,6286.5287525804015,25907.643762902007,173,165,0,0,0,0,0,0,0,0,0.08598113059997559
uniform,4,99009,G21A,15,True,15,7331.859937688261,31169.299688441286,174,153,0,0,0,15,13,2,9,0,0.4657912254333496
uniform,4,99010,G25OR-S21,12,True,12,6972.783623023921,27638.9181151196,232,225,0,0,0,0,0,0,0,0,0.09232020378112793
uniform,4,99010,G21A,12,True,12,6945.453141363486,27792.265706817434,224,207,0,0,0,12,11,1,6,0,0.331371545791626
uniform,4,99011,G25OR-S21,12,True,12,6730.173297494843,25940.866487474213,248,242,0,0,0,0,0,0,0,0,0.08330488204956055
uniform,4,99011,G21A,12,True,12,7402.002682381534,29355.013411907676,249,226,0,0,0,12,9,3,9,0,0.3111302852630615
uniform,4,99012,G25OR-S21,15,True,15,7138.682960668911,28628.41480334455,225,213,0,0,0,0,0,0,0,0,0.10187244415283203
uniform,4,99012,G21A,15,True,15,7240.352461805583,29356.762309027883,220,194,0,0,0,13,11,2,7,0,0.37608933448791504
uniform,4,99013,G25OR-S21,11,True,11,7495.541770884793,28802.708854423963,282,270,0,0,0,0,0,0,0,0,0.07289409637451172
uniform,4,99013,G21A,11,True,11,7904.6335232953925,31078.167616476945,277,249,0,0,0,9,8,1,6,0,0.2473921775817871
uniform,4,99014,G25OR-S21,12,True,12,6728.593934923816,25782.969674619086,254,242,0,0,0,0,0,0,0,0,0.07617449760437012
uniform,4,99014,G21A,12,True,12,7128.886514436812,28054.43257218405,247,223,0,0,0,12,11,1,8,0,0.30663371086120605
uniform,4,99015,G25OR-S21,15,True,15,6760.202777328477,27151.013886642388,211,200,0,0,0,0,0,0,0,0,0.09214377403259277
uniform,4,99015,G21A,15,True,15,7413.064563685342,30440.32281842671,213,185,0,0,0,14,10,4,11,0,0.39184045791625977
uniform,4,99016,G25OR-S21,16,True,16,7053.736014831727,28843.680074158623,204,185,0,0,0,0,0,0,0,0,0.1021573543548584
uniform,4,99016,G21A,16,True,16,6988.419958910012,28637.099794550057,201,176,0,0,0,14,12,2,8,0,0.37775421142578125
uniform,4,99017,G25OR-S21,13,True,13,6434.120364089924,25465.601820449625,214,206,0,0,0,0,0,0,0,0,0.09403800964355469
uniform,4,99017,G21A,13,True,13,7223.493666716051,29472.468333580244,216,184,0,0,0,13,8,5,8,0,0.3725264072418213
uniform,4,99018,G25OR-S21,11,True,11,7218.713809642533,27728.569048212656,272,258,0,0,0,0,0,0,0,0,0.0869596004486084
uniform,4,99018,G21A,11,True,11,7281.646679754293,28603.233398771466,256,226,0,0,0,11,8,3,7,0,0.28070735931396484
uniform,4,99019,G25OR-S21,15,True,15,6846.912063508661,28249.56031754331,188,182,0,0,0,0,0,0,0,0,0.1051335334777832
uniform,4,99019,G21A,15,True,15,6976.138992077245,29230.69496038622,179,160,0,0,0,15,14,1,8,0,0.45162320137023926
uniform,4,99020,G25OR-S21,10,True,10,7381.804691824689,27804.023459123437,297,286,0,0,0,0,0,0,0,0,0.07479500770568848
uniform,4,99020,G21A,10,True,10,7182.4606969760525,27197.303484880256,285,268,0,0,0,10,9,1,8,0,0.23142075538635254
uniform,4,99021,G25OR-S21,13,True,13,7285.046946185529,28045.234730927645,270,261,0,0,0,0,0,0,0,0,0.0844125747680664
uniform,4,99021,G21A,13,True,13,7423.797529148685,28928.987645743444,266,243,0,0,0,12,11,1,9,0,0.3368039131164551
uniform,4,99022,G25OR-S21,15,True,15,7316.832179928467,29844.160899642324,214,203,0,0,0,0,0,0,0,0,0.1069798469543457
uniform,4,99022,G21A,15,True,15,7091.070833428152,29145.35416714075,201,182,0,0,0,13,13,0,7,0,0.3764340877532959
uniform,4,99023,G25OR-S21,12,True,12,7354.512072323028,28822.56036161514,256,250,0,0,0,0,0,0,0,0,0.08705520629882812
uniform,4,99023,G21A,12,True,12,7109.971482893496,28094.857414467486,241,226,0,0,0,12,10,2,8,0,0.27437400817871094
uniform,4,99024,G25OR-S21,12,True,12,7382.544109408976,29202.720547044864,249,237,0,0,0,0,0,0,0,0,0.08183670043945312
uniform,4,99024,G21A,12,True,12,7127.726461460758,28198.63230730379,242,218,0,0,0,12,9,3,7,0,0.2804605960845947
uniform,4,99025,G25OR-S21,15,True,15,6830.443491851412,27642.217459257055,206,197,0,0,0,0,0,0,0,0,0.11680245399475098
uniform,4,99025,G21A,15,True,15,6966.363579812464,28521.817899062324,200,187,0,0,0,15,15,0,10,0,0.3925769329071045
uniform,4,99026,G25OR-S21,11,True,11,6796.044019492593,26090.220097462963,255,248,0,0,0,0,0,0,0,0,0.08075952529907227
uniform,4,99026,G21A,11,True,11,6749.5146240925815,26217.573120462897,245,226,0,0,0,11,11,0,5,0,0.2672708034515381
uniform,4,99027,G25OR-S21,16,True,16,4122.382697789325,16536.91348894662,124,115,0,0,0,0,0,0,0,0,0.07846760749816895
uniform,4,99027,G21A,16,True,16,4705.527191962777,19247.63595981389,133,108,1,0,0,13,11,2,6,1,0.52726149559021
uniform,4,99028,G25OR-S21,15,True,15,7087.983364664896,28544.916823324475,219,209,0,0,0,0,0,0,0,0,0.11072421073913574
uniform,4,99028,G21A,15,True,15,7550.343654900341,31106.718274501683,214,184,0,0,0,14,11,3,9,0,0.3416011333465576
uniform,4,99029,G25OR-S21,15,True,15,6981.559278958655,27147.79639479328,248,237,0,0,0,0,0,0,0,0,0.09753251075744629
uniform,4,99029,G21A,15,True,15,7262.546182517074,28702.73091258535,245,222,0,0,0,12,12,0,9,0,0.38289499282836914
uniform,4,99030,G25OR-S21,16,True,16,3371.1654636632447,13770.827318316231,92,77,0,0,0,0,0,0,0,0,0.07959699630737305
uniform,4,99030,G21A,16,True,16,3944.114722673711,16620.57361336856,94,70,0,0,0,7,7,0,4,0,0.27313756942749023
uniform,4,99031,G25OR-S21,15,True,15,6539.9989029321705,25964.994514660848,213,207,0,0,0,0,0,0,0,0,0.09909224510192871
uniform,4,99031,G21A,15,True,15,7510.456256659743,31017.281283298733,210,182,0,0,0,14,11,3,9,0,0.4463210105895996
uniform,4,99032,G25OR-S21,16,True,16,4420.142454383814,17790.712271919067,132,122,0,0,0,0,0,0,0,0,0.0825510025024414
uniform,4,99032,G21A,16,True,16,4468.5091687792865,18122.545843896423,130,114,0,0,0,13,12,1,6,0,0.32344913482666016
uniform,4,99033,G25OR-S21,15,True,15,6351.60563528185,24683.02817640924,224,220,0,0,0,0,0,0,0,0,0.0810093879699707
uniform,4,99033,G21A,15,True,15,7400.810760775823,30209.053803879127,217,199,0,0,0,15,14,1,9,0,0.3880934715270996
uniform,4,99034,G25OR-S21,11,True,11,6660.453971729892,24767.26985864946,277,267,0,0,0,0,0,0,0,0,0.0683286190032959
uniform,4,99034,G21A,11,True,11,6980.431964900951,26562.159824504768,273,248,0,0,0,10,9,1,7,0,0.2620668411254883
uniform,4,99035,G25OR-S21,14,True,14,6956.909044930092,27789.545224650446,224,209,0,0,0,0,0,0,0,0,0.10326457023620605
uniform,4,99035,G21A,14,True,14,7044.1807263199335,28645.903631599653,211,190,0,0,0,13,13,0,9,0,0.3361327648162842
uniform,4,99036,G25OR-S21,14,True,14,7286.661711134827,29183.308555674135,232,220,0,0,0,0,0,0,0,0,0.09653258323669434
uniform,4,99036,G21A,14,True,14,7521.067434058007,30875.337170290033,217,188,1,0,0,13,13,0,8,0,0.34022021293640137
uniform,4,99037,G25OR-S21,12,True,12,6776.476273199541,25987.381365997695,255,244,0,0,0,0,0,0,0,0,0.07683634757995605
uniform,4,99037,G21A,12,True,12,6969.436013293172,27272.180066465862,247,220,0,0,0,11,9,2,9,0,0.28711533546447754
uniform,4,99038,G25OR-S21,12,True,12,7025.596790900012,26982.98395450007,264,249,0,0,0,0,0,0,0,0,0.08749198913574219
uniform,4,99038,G21A,12,True,12,7448.310495933679,29201.552479668386,263,233,0,0,0,10,8,2,6,0,0.2855665683746338
uniform,4,99039,G25OR-S21,14,True,14,7006.152481282981,27265.762406414906,250,233,0,0,0,0,0,0,0,0,0.10992550849914551
uniform,4,99039,G21A,14,True,14,7154.6071023232225,28213.03551161611,245,217,0,0,0,13,12,1,10,0,0.45064353942871094
uniform,4,99040,G25OR-S21,16,True,16,4415.5355826473315,17722.677913236646,136,111,0,0,0,0,0,0,0,0,0.0745077133178711
uniform,4,99040,G21A,16,True,16,4693.036752339465,19410.18376169732,126,101,0,0,0,9,8,1,6,0,0.2762768268585205
uniform,4,99041,G25OR-S21,12,True,12,6334.887487331121,24569.43743665561,228,221,0,0,0,0,0,0,0,0,0.07432913780212402
uniform,4,99041,G21A,12,True,12,7254.101054360948,29215.50527180473,229,206,0,0,0,12,10,2,8,0,0.3719639778137207
uniform,4,99042,G25OR-S21,12,True,12,7187.6377448028215,28148.188724014104,251,243,0,0,0,0,0,0,0,0,0.07893729209899902
uniform,4,99042,G21A,12,True,12,7427.063969076095,29750.31984538047,239,222,0,0,0,12,11,1,10,0,0.3169441223144531
uniform,4,99043,G25OR-S21,16,True,16,6124.057470371896,24950.287351859475,179,159,0,0,0,0,0,0,0,0,0.09176993370056152
uniform,4,99043,G21A,16,True,16,6206.451435548353,25422.257177741772,178,152,0,0,0,12,12,0,8,0,0.3282914161682129
uniform,4,99044,G25OR-S21,14,True,14,7283.854132641209,28809.270663206025,243,237,0,0,0,0,0,0,0,0,0.10035085678100586
uniform,4,99044,G21A,14,True,14,7639.244302096257,30621.22151048129,246,215,0,0,0,13,11,2,9,0,0.4464759826660156
uniform,4,99045,G25OR-S21,11,True,11,6829.770628080311,25563.853140401556,279,267,0,0,0,0,0,0,0,0,0.07057857513427734
uniform,4,99045,G21A,11,True,11,7290.1213943924295,27935.606971962137,279,253,0,0,0,10,7,3,8,0,0.22152090072631836
uniform,4,99046,G25OR-S21,11,True,11,6885.98319020728,26199.9159510364,268,251,0,0,0,0,0,0,0,0,0.06354451179504395
uniform,4,99046,G21A,11,True,11,7326.40569630585,28477.02848152926,267,241,0,0,0,10,9,1,7,0,0.2532787322998047
uniform,4,99047,G25OR-S21,14,True,14,6904.377428607011,27601.88714303506,220,214,0,0,0,0,0,0,0,0,0.09556460380554199
uniform,4,99047,G21A,14,True,14,7476.506228710189,30662.53114355094,218,184,0,0,0,14,10,4,10,0,0.37755584716796875
uniform,4,99048,G25OR-S21,13,True,13,6683.741956076158,26078.709780380792,235,228,0,0,0,0,0,0,0,0,0.08698749542236328
uniform,4,99048,G21A,13,True,13,6850.767337882801,27168.836689413987,229,207,0,0,0,13,9,4,10,2,0.37500452995300293
uniform,4,99049,G25OR-S21,10,True,10,6920.192187422673,25685.960937113356,290,283,0,0,0,0,0,0,0,0,0.07342028617858887
uniform,4,99049,G21A,10,True,10,7250.787725994547,27363.938629972727,293,263,0,0,0,10,6,4,8,0,0.25724029541015625
uniform,4,99050,G25OR-S21,15,True,15,7147.7992463380415,28358.99623169021,237,216,0,0,0,0,0,0,0,0,0.09301352500915527
uniform,4,99050,G21A,15,True,15,7433.594906406009,29907.97453203004,236,197,0,0,0,13,11,2,7,0,0.36419153213500977
uniform,4,99051,G25OR-S21,13,True,13,5835.803937310137,22629.019686550688,209,200,0,0,0,0,0,0,0,0,0.09369134902954102
uniform,4,99051,G21A,13,True,13,6895.711901545403,28048.55950772702,207,186,0,0,0,13,11,2,7,0,0.39521169662475586
uniform,4,99052,G25OR-S21,10,True,10,6507.126301523542,24260.63150761771,269,260,0,0,0,0,0,0,0,0,0.08023738861083984
