mode,seed,kind,coverage,sources,actual_s,actual_s_per_source,oracle_lower_s,oracle_upper_s,oracle_lower_s_per_source,oracle_upper_s_per_source,gap_to_lower_s,gap_to_upper_s,cleared,success
3,94500,uniform,S25,14,4129.461516281501,294.96153687725007,1759.2834654129524,1867.2834654329527,125.66310467235375,133.37739038806805,2370.1780508685483,2262.178050848548,14,True
3,94501,uniform,S25,10,4368.526177919982,436.85261779199817,1883.7224925057974,1959.7224925257974,188.37224925057973,195.97224925257976,2484.8036854141847,2408.8036853941844,10,True
3,94502,uniform,S25,13,4326.355442473376,332.79657249795196,1922.402762932279,2022.4027629522793,147.87713561017532,155.5694433040215,2403.9526795410966,2303.9526795210963,13,True
3,94503,uniform,S25,10,4111.1899222827615,411.11899222827617,1659.955966051142,1735.955966071142,165.9955966051142,173.5955966071142,2451.2339562316192,2375.2339562116194,10,True
3,94504,uniform,S25,14,4506.490580526887,321.8921843233491,2024.5550277850264,2132.5550278050264,144.61107341321616,152.32535912893047,2481.935552741861,2373.935552721861,14,True
3,94505,uniform,S25,10,3588.295223033618,358.82952230336184,1133.471921721678,1209.471921741678,113.3471921721678,120.9471921741678,2454.82330131194,2378.82330129194,10,True
3,94506,uniform,S25,11,3906.8414230151866,355.1674020922897,1419.9584169411164,1503.9584169611164,129.08712881282878,136.72349245101057,2486.88300607407,2402.8830060540704,11,True
3,94507,uniform,S25,16,5090.9679578895875,318.1854973680992,1925.7493663232385,2049.7493663432388,120.35933539520241,128.10933539645242,3165.218591566349,3041.2185915463488,16,True
3,94508,uniform,S25,11,3708.1522658345107,337.10475143950094,1387.6941548610544,1471.6941548810541,126.15401407827765,133.7903777164595,2320.4581109734563,2236.4581109534565,11,True
3,94509,uniform,S25,12,4273.929744887515,356.16081207395956,1593.396058794805,1685.396058814805,132.78300489956706,140.44967156790042,2680.53368609271,2588.53368607271,12,True
3,94510,uniform,S25,10,4149.284253207671,414.92842532076713,1619.1531307680912,1695.1531307880912,161.91531307680913,169.51531307880913,2530.13112243958,2454.1311224195797,10,True
3,94511,uniform,S25,14,4631.354584225326,330.81104173038045,1883.0130440650933,1991.0130440850935,134.50093171893525,142.21521743464953,2748.341540160233,2640.3415401402326,14,True
3,94512,uniform,S25,11,4482.022281126887,407.4565710115352,1753.100322138221,1837.100322158221,159.3727565580201,167.0091201962019,2728.921958988666,2644.921958968666,11,True
3,94513,uniform,S25,12,4140.2084593243135,345.0173716103595,1696.0366451911073,1788.0366452111073,141.33638709925896,149.00305376759226,2444.171814133206,2352.171814113206,12,True
3,94514,uniform,S25,15,4969.916411061933,331.3277607374622,2005.012449780526,2121.012449800526,133.66749665203506,141.40082998670175,2964.903961281407,2848.903961261407,15,True
3,94515,uniform,S25,10,4179.15587339858,417.915587339858,1626.4961178479866,1702.4961178679864,162.64961178479865,170.24961178679862,2552.6597555505937,2476.659755530594,10,True
3,94516,uniform,S25,12,4310.51177302238,359.2093144185317,1864.301180015408,1956.3011800354082,155.35843166795067,163.025098336284,2446.210593006972,2354.210592986972,12,True
3,94517,uniform,S25,14,4841.3210585969655,345.8086470426404,2077.2437693714596,2185.24376939146,148.37455495510426,156.08884067081857,2764.077289225506,2656.0772892055056,14,True
3,94518,uniform,S25,10,4445.743273903565,444.5743273903565,1609.8032183103157,1685.8032183303158,160.98032183103157,168.58032183303158,2835.940055593249,2759.940055573249,10,True
3,94519,uniform,S25,13,4300.082157593447,330.77555058411133,1813.9618904300835,1913.9618904500835,139.53553003308335,147.2278377269295,2486.1202671633637,2386.1202671433634,13,True
4,94500,uniform,S25,14,7767.741239649727,554.8386599749805,1593.9017598701898,1701.9017598901899,113.85012570501357,121.56441142072785,6173.839479779537,6065.8394797595365,14,True
4,94501,uniform,S25,10,7000.952655288546,700.0952655288546,1702.461230841633,1778.461230861633,170.2461230841633,177.84612308616332,5298.491424446913,5222.491424426913,10,True
4,94502,uniform,S25,13,6864.199998245451,528.0153844804192,1193.1199101329094,1293.1199101529094,91.77845462560842,99.47076231945456,5671.0800881125415,5571.080088092542,13,True
4,94503,uniform,S25,10,7171.113372665659,717.1113372665659,1500.3696785964453,1574.920152009737,150.03696785964453,157.4920152009737,5670.743694069213,5596.193220655922,10,True
4,94504,uniform,S25,14,7195.437058456242,513.9597898897316,1591.7236906088322,1699.7236906288322,113.69454932920229,121.40883504491657,5603.71336784741,5495.7133678274095,14,True
4,94505,uniform,S25,10,7219.4853903799485,721.9485390379948,1456.413515455204,1532.4135154752041,145.64135154552042,153.2413515475204,5763.071874924744,5687.071874904745,10,True
4,94506,uniform,S25,11,6893.905201532949,626.7186546848135,1529.6512425181231,1613.651242538123,139.0592038652839,146.69556750346572,5364.253959014826,5280.2539589948265,11,True
4,94507,uniform,S25,16,7244.036624478521,452.75228902990756,1876.5106878075112,2000.5106878275114,117.28191798796945,125.03191798921947,5367.52593667101,5243.525936651009,16,True
4,94508,uniform,S25,11,7111.845352320573,646.5313956655066,1753.7187454408365,1837.7187454608368,159.42897685825787,167.0653404964397,5358.126606879736,5274.126606859736,11,True
4,94509,uniform,S25,12,7517.7284082254355,626.4773673521196,1718.3297473429222,1810.3297473629223,143.1941456119102,150.86081228024352,5799.3986608825135,5707.398660862513,12,True
4,94510,uniform,S25,10,7116.193267798492,711.6193267798492,1459.0161043193386,1535.0161043393387,145.90161043193385,153.50161043393385,5657.177163479154,5581.177163459153,10,True
4,94511,uniform,S25,14,7185.5652542658645,513.2546610189903,1471.4412667246677,1579.1534164708316,105.10294762319056,112.79667260505941,5714.123987541197,5606.411837795033,14,True
4,94512,uniform,S25,11,7256.069749647373,659.6427045133976,1719.3196634313013,1803.3196634513013,156.30178758466374,163.93815122284556,5536.750086216072,5452.750086196072,11,True
4,94513,uniform,S25,12,7123.638181310594,593.6365151092161,1665.5234597924727,1757.5234598124728,138.79362164937274,146.46028831770607,5458.114721518121,5366.114721498121,12,True
4,94514,uniform,S25,15,6377.472830406331,425.16485536042205,1632.2244681608277,1748.2244681808274,108.81496454405517,116.54829787872184,4745.248362245504,4629.248362225504,15,True
4,94515,uniform,S25,10,7003.71477272324,700.371477272324,1478.588496555894,1554.588496575894,147.8588496555894,155.4588496575894,5525.126276167346,5449.126276147345,10,True
4,94516,uniform,S25,12,7243.7372340263355,603.6447695021947,1647.1386624723716,1739.1386624923714,137.26155520603098,144.92822187436428,5596.598571553964,5504.598571533964,12,True
4,94517,uniform,S25,14,7890.42384315374,563.6017030824099,1798.3307149957138,1906.3307150157136,128.45219392826527,136.16647964397953,6092.093128158026,5984.093128138026,14,True
4,94518,uniform,S25,10,7145.198767487835,714.5198767487834,1563.4742693708909,1639.4742693908909,156.3474269370891,163.9474269390891,5581.724498116944,5505.7244980969435,10,True
4,94519,uniform,S25,13,6978.575449140019,536.8134960876938,1640.4392309913833,1740.439231011383,126.18763315318333,133.87994084702947,5338.1362181486365,5238.136218128637,13,True
3,94500,edge,S25,14,4749.108700192242,339.2220500137316,2006.0254360471286,2114.025436067129,143.28753114622347,151.00181686193775,2743.083264145114,2635.0832641251136,14,True
3,94501,edge,S25,10,4490.743713121042,449.0743713121042,1923.1756917140017,1999.175691734002,192.31756917140018,199.91756917340018,2567.56802140704,2491.56802138704,10,True
3,94502,edge,S25,13,4621.518683190652,355.5014371685117,1673.790605646698,1773.790605666698,128.75312351128446,136.4454312051306,2947.728077543954,2847.728077523954,13,True
3,94503,edge,S25,10,4615.43857458856,461.543857458856,1867.4567744875426,1943.4567745075426,186.74567744875424,194.34567745075427,2747.9818001010176,2671.9818000810174,10,True
3,94504,edge,S25,14,4598.333980987357,328.45242721338263,1852.223339263958,1960.2233392839582,132.3016670902827,140.01595280599702,2746.1106417233987,2638.110641703399,14,True
3,94505,edge,S25,10,4621.258612116649,462.12586121166487,1961.444392286497,2037.0508538343627,196.14443922864973,203.70508538343628,2659.8142198301516,2584.207758282286,10,True
3,94506,edge,S25,11,4541.988100840107,412.90800916728244,1891.6979999240787,1969.7880422193514,171.9725454476435,179.0716402017592,2650.2901009160287,2572.200058620756,11,True
3,94507,edge,S25,16,4695.428212547195,293.46426328419966,1966.5707148700906,2087.9000213870368,122.91066967938066,130.4937513366898,2728.857497677104,2607.528191160158,16,True
3,94508,edge,S25,11,4624.085128594807,420.37137532680066,2040.6117642231025,2124.6117642431027,185.5101603839184,193.14652402210024,2583.473364371705,2499.4733643517047,11,True
3,94509,edge,S25,12,4481.917071526978,373.49308929391486,1720.7819596902978,1812.7819597102978,143.39849664085813,151.0651633091915,2761.1351118366806,2669.1351118166804,12,True
3,94510,edge,S25,10,3708.4311000022567,370.8431100002257,1223.3379504815923,1299.3379505015923,122.33379504815923,129.93379505015923,2485.093149520664,2409.0931495006644,10,True
3,94511,edge,S25,14,5037.6090092456525,359.82921494611804,2109.7846791219536,2217.784679141954,150.6989056515681,158.41319136728242,2927.824330123699,2819.8243301036987,14,True
3,94512,edge,S25,11,4645.522008000896,422.320182545536,2032.1926521120804,2116.1926521320806,184.74478655564369,192.3811501938255,2613.3293558888154,2529.329355868815,11,True
3,94513,edge,S25,12,4699.575615409537,391.6313012841281,1955.687949316267,2047.6879493362671,162.97399577635557,170.64066244468893,2743.88766609327,2651.88766607327,12,True
3,94514,edge,S25,15,4768.945442915119,317.92969619434126,2100.675838956908,2216.6758389769084,140.04505593046053,147.7783892651272,2668.269603958211,2552.269603938211,15,True
3,94515,edge,S25,10,4211.512422414067,421.15124224140675,1806.977378770041,1882.9773787900408,180.6977378770041,188.2977378790041,2404.5350436440262,2328.5350436240265,10,True
3,94516,edge,S25,12,4449.49094108527,370.7909117571058,1799.0192239660805,1891.0192239860808,149.91826866384005,157.5849353321734,2650.471717119189,2558.471717099189,12,True
3,94517,edge,S25,14,4815.372364239396,343.9551688742426,1795.4107486645285,1903.4107486845285,128.24362490460916,135.95791062032347,3019.9616155748677,2911.9616155548674,14,True
3,94518,edge,S25,10,4455.716384362859,445.57163843628587,2060.047804032797,2136.047804052797,206.00478040327968,213.6047804052797,2395.6685803300616,2319.6685803100618,10,True
3,94519,edge,S25,13,4842.68272194784,372.51405553444926,1879.2528912405876,1976.138160314574,144.55791471081443,152.0106277165057,2963.429830707252,2866.5445616332663,13,True
4,94500,edge,S25,14,9428.559175019196,673.4685125013712,2006.0254360471286,2114.025436067129,143.28753114622347,151.00181686193775,7422.533738972068,7314.533738952067,14,True
4,94501,edge,S25,10,9975.152884771824,997.5152884771824,1923.1756917140017,1999.175691734002,192.31756917140018,199.91756917340018,8051.977193057822,7975.977193037822,10,True
4,94502,edge,S25,13,9473.053775821218,728.6964442939399,1673.790605646698,1773.790605666698,128.75312351128446,136.4454312051306,7799.2631701745195,7699.26317015452,13,True
4,94503,edge,S25,10,9466.312205475822,946.6312205475822,1867.4567744875426,1943.4567745075426,186.74567744875424,194.34567745075427,7598.85543098828,7522.8554309682795,10,True
4,94504,edge,S25,14,9111.020939706292,650.7872099790209,1852.223339263958,1960.2233392839582,132.3016670902827,140.01595280599702,7258.7976004423335,7150.797600422334,14,True
4,94505,edge,S25,10,8717.52895328154,871.7528953281541,1961.444392286497,2037.0508538343627,196.14443922864973,203.70508538343628,6756.084560995043,6680.478099447178,10,True
4,94506,edge,S25,11,9348.673263554247,849.8793875958406,1891.6979999240787,1969.7880422193514,171.9725454476435,179.0716402017592,7456.975263630168,7378.8852213348955,11,True
4,94507,edge,S25,16,9401.284150404308,587.5802594002693,1966.5707148700906,2087.9000213870368,122.91066967938066,130.4937513366898,7434.713435534218,7313.384129017271,16,True
4,94508,edge,S25,11,9182.39552656287,834.7632296875337,2040.6117642231025,2124.6117642431027,185.5101603839184,193.14652402210024,7141.783762339768,7057.783762319767,11,True
4,94509,edge,S25,12,10333.961070164292,861.163422513691,1720.7819596902978,1812.7819597102978,143.39849664085813,151.0651633091915,8613.179110473995,8521.179110453995,12,True
4,94510,edge,S25,10,8651.761823776762,865.1761823776762,1223.3379504815923,1299.3379505015923,122.33379504815923,129.93379505015923,7428.42387329517,7352.423873275169,10,True
4,94511,edge,S25,14,10099.700476595244,721.4071768996603,2109.7846791219536,2217.784679141954,150.6989056515681,158.41319136728242,7989.915797473291,7881.91579745329,14,True
