mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,clear_calls,failed_clear
3,160000,G25OR,11,True,11,4271.700966525475,17148.504832627375,133,11,0
3,160000,O1,11,True,11,3894.7009665254755,17148.504832627375,70,11,0
3,160000,O2,11,True,11,4015.934200667818,16564.671003339092,109,11,0
3,160000,O3,11,True,11,3639.9342006678185,16564.671003339092,46,11,0
3,160000,O0,11,True,11,1988.1022085076459,9665.51104253823,0,11,0
3,160001,G25OR,12,True,12,4258.876907934016,17589.384539670078,114,12,0
3,160001,O1,12,True,12,3923.8769079340154,17589.384539670078,58,12,0
3,160001,O2,12,True,12,3591.451587435739,15142.257937178692,85,12,0
3,160001,O3,12,True,12,3029.8865774244173,13994.432887122086,29,12,0
3,160001,O0,12,True,12,1565.0951089534394,7525.475544767196,0,12,0
3,160002,G25OR,11,True,11,3919.9252769673576,15994.626384836793,112,11,0
3,160002,O1,11,True,11,3541.925276967358,15994.626384836793,49,11,0
3,160002,O2,11,True,11,3561.38584318938,15096.929215946902,82,11,0
3,160002,O3,11,True,11,2722.2698395065495,12781.349197532749,19,11,0
3,160002,O0,11,True,11,1473.1314864464055,7090.6574322320275,0,11,0
3,160003,G25OR,15,True,15,5023.444494703872,20712.22247351936,138,15,0
3,160003,O1,15,True,15,4813.444494703872,20712.22247351936,103,15,0
3,160003,O2,15,True,15,4202.374373930868,17661.871869654336,100,15,0
3,160003,O3,15,True,15,3992.374373930868,17661.871869654336,65,15,0
3,160003,O0,15,True,15,2087.487538003715,10062.437690018578,0,15,0
3,160004,G25OR,11,True,11,3812.8793233802294,15329.396616901151,116,11,0
3,160004,O1,11,True,11,3435.8793233802294,15329.396616901151,53,11,0
3,160004,O2,11,True,11,3501.9594140971476,14689.797070485736,86,11,0
3,160004,O3,11,True,11,3102.7203467213594,14568.601733606796,23,11,0
3,160004,O0,11,True,11,1631.9951998261306,7884.975999130654,0,11,0
3,160005,G25OR,15,True,15,4103.404157832366,16927.020789161827,108,15,0
3,160005,O1,15,True,15,3894.404157832366,16927.020789161827,73,15,0
3,160005,O2,15,True,15,3724.105488936536,16180.527444682677,70,15,0
3,160005,O3,15,True,15,3515.105488936536,16180.527444682677,35,15,0
3,160005,O0,15,True,15,1888.3064059273372,9066.532029636684,0,15,0
3,160006,G25OR,11,True,11,4500.161350234317,18090.806751171593,141,11,0
3,160006,O1,11,True,11,4123.161350234318,18090.806751171593,78,11,0
3,160006,O2,11,True,11,3999.8582189203853,16304.291094601927,115,11,0
3,160006,O3,11,True,11,3622.8582189203853,16304.291094601927,52,11,0
3,160006,O0,11,True,11,2045.4341039566214,9952.170519783109,0,11,0
3,160007,G25OR,10,True,10,3727.660477858122,15083.30238929061,110,11,1
3,160007,O1,10,True,10,3309.6604778581222,15083.30238929061,40,11,1
3,160007,O2,10,True,10,3567.118757278031,14890.593786390153,91,10,0
3,160007,O3,10,True,10,2634.0054033840743,12300.027016920374,21,10,0
3,160007,O0,10,True,10,1517.3427313550592,7336.713656775296,0,10,0
3,160008,G25OR,10,True,10,3840.1971684467367,15520.985842233686,115,10,0
3,160008,O1,10,True,10,3421.1971684467367,15520.985842233686,45,10,0
3,160008,O2,10,True,10,3294.6684461456243,13558.342230728125,90,10,0
3,160008,O3,10,True,10,2498.192998202901,11650.964991014504,20,10,0
3,160008,O0,10,True,10,1519.586329630457,7347.931648152285,0,10,0
3,160009,G25OR,15,True,15,4703.666545602521,19193.332728012603,134,15,0
3,160009,O1,15,True,15,4493.66654560252,19193.332728012603,99,15,0
3,160009,O2,15,True,15,4026.1741340682756,16640.87067034138,105,15,0
3,160009,O3,15,True,15,3816.1741340682756,16640.87067034138,70,15,0
3,160009,O0,15,True,15,1955.346559669503,9401.732798347513,0,15,0
3,160010,G25OR,12,True,12,3960.887789463189,15924.438947315943,120,12,0
3,160010,O1,12,True,12,3624.8877894631887,15924.438947315943,64,12,0
3,160010,O2,12,True,12,3735.045388760854,15590.226943804268,94,12,0
3,160010,O3,12,True,12,3158.0855521268627,14375.42776063431,38,12,0
3,160010,O0,12,True,12,1789.5231870661369,8647.615935330683,0,12,0
3,160011,G25OR,12,True,12,4216.160064771495,17485.800323857475,111,12,0
3,160011,O1,12,True,12,3881.1600647714945,17485.800323857475,55,12,0
3,160011,O2,12,True,12,3610.773689330746,15203.86844665373,86,12,0
3,160011,O3,12,True,12,3232.7325515116245,14978.662757558122,30,12,0
3,160011,O0,12,True,12,1739.6627888038634,8398.313944019317,0,12,0
3,160012,G25OR,16,True,16,5279.549465739429,21872.747328697144,141,16,0
3,160012,O1,16,True,16,5111.54946573943,21872.747328697144,113,16,0
