mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,clear_calls,failed_clear
3,170000,G25OR,12,True,12,4467.9280869808845,18039.64043490442,136,12,0
3,170000,O1,12,True,12,4132.928086980885,18039.64043490442,80,12,0
3,170000,O2,12,True,12,4136.553294655472,17137.76647327736,109,12,0
3,170000,O3,12,True,12,3802.553294655472,17137.76647327736,53,12,0
3,170000,O0,12,True,12,1904.1429730936845,9220.714865468422,0,12,0
3,170001,G25OR,15,True,15,4576.076474790784,19125.382373953926,114,15,0
3,170001,O1,15,True,15,4366.076474790785,19125.382373953926,79,15,0
3,170001,O2,15,True,15,3741.3425956928236,16201.712978464118,72,15,0
3,170001,O3,15,True,15,3531.3425956928236,16201.712978464118,37,15,0
3,170001,O0,15,True,15,1896.4608436962521,9107.304218481264,0,15,0
3,170002,G25OR,12,True,12,3858.8812796780353,15619.406398390176,113,12,0
3,170002,O1,12,True,12,3523.8812796780353,15619.406398390176,57,12,0
3,170002,O2,12,True,12,3338.594640545598,13837.973202727992,86,12,0
3,170002,O3,12,True,12,3005.594640545598,13837.973202727992,30,12,0
3,170002,O0,12,True,12,1571.8406344792816,7559.2031723964055,0,12,0
3,170003,G25OR,16,True,16,4014.0149082400567,16300.074541200282,115,16,0
3,170003,O1,16,True,16,3894.0149082400567,16300.074541200282,95,16,0
3,170003,O2,16,True,16,3171.5532569837032,13042.766284918516,81,16,0
3,170003,O3,16,True,16,3051.5532569837032,13042.766284918516,61,16,0
3,170003,O0,16,True,16,1780.2345366564075,8501.172683282035,0,16,0
3,170004,G25OR,11,True,11,4030.0405691044607,16240.202845522308,122,11,0
3,170004,O1,11,True,11,3653.040569104461,16240.202845522308,59,11,0
3,170004,O2,11,True,11,3546.123217493792,14605.61608746896,96,11,0
3,170004,O3,11,True,11,3298.4538422718265,15242.269211359135,33,11,0
3,170004,O0,11,True,11,1835.7354098237602,8903.6770491188,0,11,0
3,170005,G25OR,15,True,15,4155.823320103857,17109.11660051928,111,15,0
3,170005,O1,15,True,15,3945.823320103857,17109.11660051928,76,15,0
3,170005,O2,15,True,15,3996.8835571946747,17379.41778597337,75,15,0
3,170005,O3,15,True,15,3493.996715959241,15909.983579796204,40,15,0
3,170005,O0,15,True,15,2024.6696274891983,9748.348137445993,0,15,0
3,170006,G25OR,13,True,13,4473.469092560661,18127.345462803307,133,13,0
3,170006,O1,13,True,13,4180.469092560661,18127.345462803307,84,13,0
3,170006,O2,13,True,13,4108.121567858331,17125.607839291657,104,13,0
3,170006,O3,13,True,13,3814.121567858331,17125.607839291657,55,13,0
3,170006,O0,13,True,13,2134.6405346990077,10348.202673495038,0,13,0
3,170007,G25OR,15,True,15,4142.356872570016,17176.784362850078,106,15,0
3,170007,O1,15,True,15,3932.3568725700156,17176.784362850078,71,15,0
3,170007,O2,15,True,15,3635.692816225702,15608.464081128512,74,15,0
3,170007,O3,15,True,15,3425.692816225702,15608.464081128512,39,15,0
3,170007,O0,15,True,15,1799.846754091647,8624.233770458233,0,15,0
3,170008,G25OR,11,True,11,4185.786806726756,17163.93403363378,117,11,0
3,170008,O1,11,True,11,3808.7868067267555,17163.93403363378,54,11,0
3,170008,O2,11,True,11,3734.9181177610762,15639.590588805377,93,11,0
3,170008,O3,11,True,11,3358.9181177610753,15639.590588805377,30,11,0
3,170008,O0,11,True,11,1856.9140743569678,9009.570371784837,0,11,0
3,170009,G25OR,15,True,15,4762.783007971137,19658.91503985568,129,15,0
3,170009,O1,15,True,15,4552.783007971137,19658.91503985568,94,15,0
3,170009,O2,15,True,15,3909.9464187898934,16444.73209394947,92,15,0
3,170009,O3,15,True,15,3507.732573193292,15478.662865966462,57,15,0
3,170009,O0,15,True,15,2069.212982138142,9971.064910690704,0,15,0
3,170010,G25OR,11,True,11,3679.0023603933573,15015.011801966783,104,11,0
3,170010,O1,11,True,11,3301.002360393357,15015.011801966783,41,11,0
3,170010,O2,11,True,11,3570.958258965844,15179.79129482922,81,11,0
3,170010,O3,11,True,11,2868.3708850212483,13541.85442510624,18,11,0
3,170010,O0,11,True,11,1328.7631688068739,6368.81584403437,0,11,0
3,170011,G25OR,16,True,16,3600.635385827672,14903.176929138359,91,16,0
3,170011,O1,16,True,16,3457.635385827672,14903.176929138359,67,16,0
3,170011,O2,16,True,16,3446.156089528851,15210.780447644254,55,16,0
3,170011,O3,16,True,16,3304.1560895288508,15210.780447644254,31,16,0
3,170011,O0,16,True,16,1657.3506045305523,7886.75302265276,0,16,0
3,170012,G25OR,10,True,10,4637.934713862786,18534.673569313938,149,10,0
3,170012,O1,10,True,10,4218.934713862787,18534.673569313938,79,10,0
3,170012,O2,10,True,10,4011.923364045996,15994.616820229981,128,10,0
3,170012,O3,10,True,10,3592.923364045996,15994.616820229981,58,10,0
3,170012,O0,10,True,10,1799.857767264184,8749.28883632092,0,10,0
3,170013,G25OR,13,True,13,4005.1406973810494,16300.703486905244,113,14,1
3,170013,O1,13,True,13,3712.140697381049,16300.703486905244,64,14,1
3,170013,O2,13,True,13,3447.3829732527443,14536.914866263716,80,13,0
3,170013,O3,13,True,13,2957.0309474844325,13545.154737422157,31,13,0
3,170013,O0,13,True,13,1851.3299730271544,8931.649865135772,0,13,0
3,170014,G25OR,15,True,15,4492.941450132469,19049.707250662348,102,15,0
3,170014,O1,15,True,15,4282.941450132469,19049.707250662348,67,15,0
3,170014,O2,15,True,15,3733.848162359173,16379.240811795862,65,15,0
3,170014,O3,15,True,15,3741.7722485977183,17453.86124298859,30,15,0
3,170014,O0,15,True,15,2155.317954916848,10401.589774584241,0,15,0
3,170015,G25OR,10,True,10,4623.505974966139,18957.529874830696,133,10,0
3,170015,O1,10,True,10,4206.505974966139,18957.529874830696,63,10,0
3,170015,O2,10,True,10,4088.167603334239,16955.838016671194,109,10,0
3,170015,O3,10,True,10,3671.167603334239,16955.838016671194,39,10,0
3,170015,O0,10,True,10,1731.1267340221882,8405.633670110941,0,10,0
3,170016,G25OR,12,True,12,3937.4986136768625,15757.493068384318,122,12,0
3,170016,O1,12,True,12,3601.498613676863,15757.493068384318,66,12,0
3,170016,O2,12,True,12,3365.6918624784826,13703.459312392411,95,12,0
3,170016,O3,12,True,12,3030.691862478482,13703.459312392411,39,12,0
3,170016,O0,12,True,12,1518.8584797514927,7294.292398757463,0,12,0
3,170017,G25OR,10,True,10,3595.8310977348688,14299.155488674343,115,10,0
3,170017,O1,10,True,10,3176.831097734869,14299.155488674343,45,10,0
3,170017,O2,10,True,10,3035.5496767653362,12292.748383826678,89,10,0
3,170017,O3,10,True,10,2616.5496767653362,12292.748383826678,19,10,0
3,170017,O0,10,True,10,1413.4466753268205,6817.2333766341035,0,10,0
3,170018,G25OR,12,True,12,4608.599670640994,18567.998353204977,142,12,0
3,170018,O1,12,True,12,4272.599670640994,18567.998353204977,86,12,0
3,170018,O2,12,True,12,3907.2929888784033,16001.464944392015,109,12,0
3,170018,O3,12,True,12,3572.292988878404,16001.464944392015,53,12,0
3,170018,O0,12,True,12,1995.204307745072,9676.021538725361,0,12,0
3,170019,G25OR,12,True,12,4584.973348833011,19099.866744165054,119,12,0
3,170019,O1,12,True,12,4248.973348833012,19099.866744165054,63,12,0
3,170019,O2,12,True,12,3719.4817272692717,15512.408636346354,94,12,0
3,170019,O3,12,True,12,3386.3459817186854,15511.729908593421,38,12,0
3,170019,O0,12,True,12,1731.1799000839285,8355.899500419644,0,12,0
3,170020,G25OR,13,True,13,4280.020722167414,17890.103610837068,107,13,0
3,170020,O1,13,True,13,3987.0207221674136,17890.103610837068,58,13,0
3,170020,O2,13,True,13,3998.784009718113,17298.920048590568,80,13,0
3,170020,O3,13,True,13,3600.693621472216,16763.468107361085,31,13,0
3,170020,O0,13,True,13,1771.319869628101,8531.599348140506,0,13,0
3,170021,G25OR,10,True,10,4494.672326948041,18163.361634740206,138,10,0
3,170021,O1,10,True,10,4075.672326948041,18163.361634740206,68,10,0
3,170021,O2,10,True,10,3873.9585285265607,15759.792642632807,113,10,0
3,170021,O3,10,True,10,3454.9585285265616,15759.792642632807,43,10,0
3,170021,O0,10,True,10,1716.217609496656,8331.08804748328,0,10,0
3,170022,G25OR,12,True,12,4379.865435010444,18359.327175052236,110,12,0
3,170022,O1,12,True,12,4043.865435010446,18359.327175052236,54,12,0
3,170022,O2,12,True,12,3652.751529335086,15473.757646675425,84,12,0
3,170022,O3,12,True,12,3047.619634397626,14113.098171988127,28,12,0
3,170022,O0,12,True,12,1725.132342661117,8325.661713305586,0,12,0
3,170023,G25OR,10,True,10,4201.782997153597,17263.91498576798,117,11,1
3,170023,O1,10,True,10,3781.782997153597,17263.91498576798,47,11,1
3,170023,O2,10,True,10,3839.751074993773,16193.755374968867,93,10,0
3,170023,O3,10,True,10,3117.9071269757287,14669.535634878646,23,10,0
3,170023,O0,10,True,10,1640.2886466436998,7951.4432332185,0,10,0
3,170024,G25OR,16,True,16,5013.533939434403,20602.66969717202,139,16,0
3,170024,O1,16,True,16,4846.533939434403,20602.66969717202,111,16,0
3,170024,O2,16,True,16,4162.915212257801,17449.576061289,100,16,0
3,170024,O3,16,True,16,3996.9152122578007,17449.576061289,72,16,0
3,170024,O0,16,True,16,1955.9230483176416,9379.615241588206,0,16,0
3,170025,G25OR,16,True,16,4289.083178702277,18225.415893511385,95,16,0
3,170025,O1,16,True,16,4146.083178702277,18225.415893511385,71,16,0
3,170025,O2,16,True,16,3320.1432193681226,14605.71609684062,54,16,0
3,170025,O3,16,True,16,3177.1432193681235,14605.71609684062,30,16,0
3,170025,O0,16,True,16,1888.7993900161127,9043.996950080564,0,16,0
3,170026,G25OR,15,True,15,4872.076110125418,20715.380550627095,110,15,0
3,170026,O1,15,True,15,4662.076110125418,20715.380550627095,75,15,0
3,170026,O2,15,True,15,4046.327235085113,17696.636175425567,73,15,0
3,170026,O3,15,True,15,3837.3272350851134,17696.636175425567,38,15,0
3,170026,O0,15,True,15,2121.6558061866276,10233.27903093314,0,15,0
3,170027,G25OR,10,True,10,4660.974535121654,18909.87267560827,141,10,0
3,170027,O1,10,True,10,4240.974535121653,18909.87267560827,71,10,0
3,170027,O2,10,True,10,4128.807316053183,16949.03658026591,116,10,0
3,170027,O3,10,True,10,3709.8073160531826,16949.03658026591,46,10,0
3,170027,O0,10,True,10,1951.4903946847603,9507.4519734238,0,10,0
3,170028,G25OR,12,True,12,4135.16246540763,16870.81232703816,117,12,0
3,170028,O1,12,True,12,3799.162465407631,16870.81232703816,61,12,0
3,170028,O2,12,True,12,3645.036584937153,15375.182924685761,86,12,0
3,170028,O3,12,True,12,3311.036584937153,15375.182924685761,30,12,0
3,170028,O0,12,True,12,1692.6374831522685,8163.187415761342,0,12,0
3,170029,G25OR,16,True,16,4353.761747993638,18778.808739968186,88,16,0
3,170029,O1,16,True,16,4233.761747993637,18778.808739968186,68,16,0
3,170029,O2,16,True,16,3560.23381453313,15891.16907266565,51,16,0
3,170029,O3,16,True,16,3441.233814533129,15891.16907266565,31,16,0
3,170029,O0,16,True,16,1998.4561252666124,9592.280626333062,0,16,0
4,170000,G25OR,12,True,12,9410.672103363939,32418.360516819717,490,12,0
4,170000,O1,12,True,12,8213.672103363942,32418.360516819717,290,12,0
4,170000,O2,12,True,12,7120.812691869169,22969.06345934585,415,12,0
4,170000,O3,12,True,12,5921.81269186917,22969.06345934585,215,12,0
4,170000,O0,12,True,12,1904.1429730936845,9220.714865468422,0,12,0
4,170001,G25OR,15,True,15,6713.454232430319,25757.271162151585,249,15,0
4,170001,O1,15,True,15,5533.091652929383,23600.458264646906,124,15,0
4,170001,O2,15,True,15,5946.075467156529,23560.377335782636,197,15,0
4,170001,O3,15,True,15,3880.8850532067927,16914.425266033963,72,15,0
4,170001,O0,15,True,15,1843.2668075308986,8841.334037654493,0,15,0
4,170002,G25OR,12,True,12,7971.725991016118,30753.629955080596,296,12,0
4,170002,O1,12,True,12,6168.177424916047,27705.887124580237,97,12,0
4,170002,O2,12,True,12,6423.892817068779,24439.46408534389,250,12,0
4,170002,O3,12,True,12,3977.5642156796034,18167.821078398018,50,12,0
4,170002,O0,12,True,12,1968.415308871543,9542.076544357715,0,12,0
4,170003,G25OR,16,True,16,9834.35592854067,34646.77964270335,482,16,0
4,170003,O1,16,True,16,9258.35592854067,34646.77964270335,386,16,0
4,170003,O2,16,True,16,7293.428719219676,24037.143596098384,405,16,0
