kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,3,92000,A0,G25OR,S21,True,10,4650.737498301947,19923.68749150974,105,91,10,0,0,0,0,35,10
uniform,3,92000,G25O,G25OR,S21,True,10,3822.114375060698,15540.5718753035,111,109,10,0,0,0,24,,10
uniform,3,92001,A0,G25OR,S21,True,12,5472.788870514046,23733.94435257023,114,96,12,0,0,0,0,44,12
uniform,3,92001,G25O,G25OR,S21,True,12,4789.419793035973,20022.098965179866,122,115,12,0,0,0,33,,12
uniform,3,92002,A0,G25OR,S21,True,11,5102.6939348165,21848.469674082495,116,98,11,0,0,0,0,47,11
uniform,3,92002,G25O,G25OR,S21,True,11,3875.6839361646553,15698.419680823275,114,111,11,0,0,0,27,,11
uniform,3,92003,A0,G25OR,S21,True,10,6412.755923841799,26628.779619209083,122,103,118,108,0,1,0,43,10
uniform,3,92003,G25O,G25OR,S21,True,10,4110.006962775233,16635.03481387616,122,120,11,1,0,0,26,,10
uniform,3,92004,A0,G25OR,S21,True,12,4326.485201077717,18372.42600538859,101,87,12,0,0,0,0,47,12
uniform,3,92004,G25O,G25OR,S21,True,12,3411.6618912382046,13653.30945619102,104,101,12,0,0,0,31,,12
uniform,4,92000,A0,G25OR,S21,True,10,11551.405759810747,45877.02879905369,379,335,42,32,0,1,0,72,10
uniform,4,92000,G25O,G25OR,S21,True,10,6207.638391577525,22848.19195788762,267,253,10,0,0,0,26,,10
uniform,4,92001,A0,G25OR,S21,True,12,11758.996824761807,47994.98412380893,313,274,99,87,0,1,0,76,12
uniform,4,92001,G25O,G25OR,S21,True,12,7011.692424436508,27323.46212218254,249,242,12,0,0,0,42,,12
uniform,4,92002,A0,G25OR,S21,True,11,10976.471611864537,42787.35805932268,400,364,11,0,0,0,0,68,11
uniform,4,92002,G25O,G25OR,S21,True,11,6876.349750121105,25661.74875060552,284,269,11,0,0,0,37,,11
uniform,4,92003,A0,G25OR,S21,True,10,14587.34172292479,57406.708614623756,434,379,179,169,0,2,0,78,10
uniform,4,92003,G25O,G25OR,S21,True,10,6744.190714073652,25100.95357036826,280,274,10,0,0,0,30,,10
uniform,4,92004,A0,G25OR,S21,True,12,15489.834614273092,62024.173071365236,393,340,252,240,0,3,0,90,12
uniform,4,92004,G25O,G25OR,S21,True,12,7665.373337730192,29806.86668865095,276,264,12,0,0,0,39,,12
edge,3,92000,A0,G25OR,S21,True,10,4592.8890876133055,19239.44543806653,117,110,10,0,0,0,0,30,10
edge,3,92000,G25O,G25OR,S21,True,10,4520.129196878959,18525.6459843948,129,120,10,0,0,0,25,,10
edge,3,92001,A0,G25OR,S21,True,12,4434.788631681758,18708.943158408787,107,98,12,0,0,0,0,35,12
edge,3,92001,G25O,G25OR,S21,True,12,4232.178125081933,17325.890625409666,121,102,12,0,0,0,30,,12
edge,3,92002,A0,G25OR,S21,True,11,4835.116504310326,20115.58252155163,128,117,11,0,0,0,0,36,11
edge,3,92002,G25O,G25OR,S21,True,11,4558.648187286762,18518.240936433813,136,120,11,0,0,0,26,,11
edge,3,92003,A0,G25OR,S21,True,10,4744.511382266273,19152.55691133137,146,134,10,0,0,0,0,34,10
edge,3,92003,G25O,G25OR,S21,True,10,4651.324096454478,18506.620482272392,153,135,10,0,0,0,24,,10
edge,3,92004,A0,G25OR,S21,True,12,4745.183692080773,19980.918460403864,116,109,12,0,0,0,0,33,12
edge,3,92004,G25O,G25OR,S21,True,12,4550.015251186844,18565.07625593421,132,117,12,0,0,0,30,,12
edge,4,92000,A0,G25OR,S21,True,10,13485.763383070798,51058.81691535392,510,464,80,70,0,1,0,69,10
edge,4,92000,G25O,G25OR,S21,True,10,8850.26975888584,31901.348794429196,412,360,10,0,0,0,53,,10
edge,4,92001,A0,G25OR,S21,True,12,15643.139911914235,60960.6995595711,534,487,90,78,0,5,0,94,12
edge,4,92001,G25O,G25OR,S21,True,12,8969.121733113718,32690.608665568572,407,336,12,0,0,0,76,,12
edge,4,92002,A0,G25OR,S21,True,11,13973.932418601444,54304.66209300712,488,432,73,62,0,3,0,78,11
edge,4,92002,G25O,G25OR,S21,True,11,8954.077705492798,32180.38852746399,419,368,11,0,0,0,60,,11
edge,4,92003,A0,G25OR,S21,True,10,12194.386346329384,46681.93173164686,458,410,46,36,0,2,0,70,10
edge,4,92003,G25O,G25OR,S21,True,10,7997.357865997821,27946.789329989115,399,363,10,0,0,0,41,,10
edge,4,92004,A0,G25OR,S21,True,12,13493.171624991022,51400.85812495505,520,469,40,28,0,1,0,88,12
edge,4,92004,G25O,G25OR,S21,True,12,8756.06687244938,31230.334362246922,417,365,12,0,0,0,63,,12
