kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,3,99000,A0,G25OR,S21,True,10,4708.146381632877,19500.731908164376,129,113,10,0,0,0,0,37,10
uniform,3,99000,G25O,G25OR,S21,True,10,4178.737377852906,16778.68688926453,130,123,10,0,0,0,21,,10
uniform,3,99001,A0,G25OR,S21,True,10,5419.719322188646,23348.596610943237,120,100,10,0,0,0,0,40,10
uniform,3,99001,G25O,G25OR,S21,True,10,4419.699637700039,18288.49818850019,120,112,10,0,0,0,23,,10
uniform,3,99002,A0,G25OR,S21,True,10,5104.054688134677,21345.27344067339,134,115,10,0,0,0,0,45,10
uniform,3,99002,G25O,G25OR,S21,True,10,3413.138653481316,13085.693267406585,125,121,10,0,0,0,19,,10
uniform,3,99003,A0,G25OR,S21,True,14,5162.193408084403,22630.967040422012,96,86,14,0,0,0,0,50,14
uniform,3,99003,G25O,G25OR,S21,True,14,4076.4959552466366,17042.479776233184,100,98,14,0,0,0,33,,14
uniform,3,99004,A0,G25OR,S21,True,11,4813.358750570199,20656.79375285099,107,92,11,0,0,0,0,40,11
uniform,3,99004,G25O,G25OR,S21,True,11,3723.6427916828834,15063.213958414417,110,106,11,0,0,0,25,,11
uniform,4,99000,A0,G25OR,S21,True,10,11468.752057070098,45188.76028535048,404,361,10,0,0,0,0,71,10
uniform,4,99000,G25O,G25OR,S21,True,10,6818.317351484517,25746.586757422578,271,264,10,0,0,0,29,,10
uniform,4,99001,A0,G25OR,S21,True,10,13369.02377215939,52305.118860796734,391,342,197,187,0,2,0,76,10
uniform,4,99001,G25O,G25OR,S21,True,10,7022.368806097262,26256.84403048631,289,276,10,0,0,0,42,,10
uniform,4,99002,A0,G25OR,S21,True,10,15100.032810252245,59070.164051260996,414,371,275,265,0,3,0,74,10
uniform,4,99002,G25O,G25OR,S21,True,10,6802.871337540661,25559.356687703308,275,266,10,0,0,0,23,,10
uniform,4,99003,A0,G25OR,S21,True,14,16399.451902610144,66967.25951305039,341,289,328,314,0,4,0,93,14
uniform,4,99003,G25O,G25OR,S21,True,14,6652.555177645509,26227.775888227545,224,217,14,0,0,0,43,,14
uniform,4,99004,A0,G25OR,S21,True,11,12981.968037644503,52109.840188222435,379,334,103,92,0,1,0,81,11
uniform,4,99004,G25O,G25OR,S21,True,11,7127.057289632349,27600.28644816174,261,247,11,0,0,0,44,,11
edge,3,99000,A0,G25OR,S21,True,10,4773.954820536959,19644.7741026848,134,125,10,0,0,0,0,30,10
edge,3,99000,G25O,G25OR,S21,True,10,4687.054509522702,18950.272547613517,144,127,10,0,0,0,23,,10
edge,3,99001,A0,G25OR,S21,True,10,5101.435298232467,21417.176491162318,131,113,10,0,0,0,0,38,10
edge,3,99001,G25O,G25OR,S21,True,10,4300.782094423894,17388.91047211946,131,118,10,0,0,0,21,,10
edge,3,99002,A0,G25OR,S21,True,10,4678.036879774711,18870.184398873556,144,134,10,0,0,0,0,35,10
edge,3,99002,G25O,G25OR,S21,True,10,4158.67443644249,16178.372182212463,148,133,10,0,0,0,22,,10
edge,3,99003,A0,G25OR,S21,True,14,4988.970980446976,21054.854902234878,120,108,14,0,0,0,0,39,14
edge,3,99003,G25O,G25OR,S21,True,14,4569.395656342022,18671.978281710108,130,115,14,0,0,0,28,,14
edge,3,99004,A0,G25OR,S21,True,11,5110.752724419535,21343.76362209768,133,122,11,0,0,0,0,35,11
edge,3,99004,G25O,G25OR,S21,True,11,4412.139462556349,17675.697312781747,139,127,11,0,0,0,23,,11
edge,4,99000,A0,G25OR,S21,True,10,12969.642501586162,50938.21250793076,447,401,42,32,0,2,0,72,10
edge,4,99000,G25O,G25OR,S21,True,10,8811.509249107214,31622.546245536112,417,352,10,0,0,0,59,,10
edge,4,99001,A0,G25OR,S21,True,10,14352.029865425053,55765.1493271252,504,449,70,60,0,3,0,81,10
edge,4,99001,G25O,G25OR,S21,True,10,8662.532880638879,30567.664403194372,425,374,10,0,0,0,57,,10
edge,4,99002,A0,G25OR,S21,True,10,11362.444786696957,42552.22393348473,465,423,28,18,0,1,0,64,10
edge,4,99002,G25O,G25OR,S21,True,10,8240.13595323932,28480.6797661966,423,379,10,0,0,0,48,,10
edge,4,99003,A0,G25OR,S21,True,14,15403.88473915299,60934.42369576486,498,441,86,72,0,4,0,94,14
edge,4,99003,G25O,G25OR,S21,True,14,9803.035743777213,36435.17871888607,418,356,14,0,0,0,75,,14
edge,4,99004,A0,G25OR,S21,True,11,13884.0675441056,54835.33772052795,468,414,47,36,0,2,0,82,11
edge,4,99004,G25O,G25OR,S21,True,11,8506.78287334493,30923.914366724646,385,342,11,0,0,0,53,,11
