kind,mode,seed,method,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,3,92000,A0,True,10,4650.737498301947,19923.68749150974,105,91,10,0,0,0,0,35,10
uniform,3,92000,G25O,True,10,4349.390815436852,18346.954077184262,108,90,10,0,0,0,21,,10
uniform,3,92001,A0,True,12,5472.788870514046,23733.94435257023,114,96,12,0,0,0,0,44,12
uniform,3,92001,G25O,True,12,5232.335575475071,22541.677877375354,114,94,12,0,0,0,25,,12
uniform,3,92002,A0,True,11,5102.6939348165,21848.469674082495,116,98,11,0,0,0,0,47,11
uniform,3,92002,G25O,True,11,4442.624812942236,18628.124064711177,114,92,11,0,0,0,27,,11
uniform,4,92000,A0,True,10,11551.405759810747,45877.02879905369,379,335,42,32,0,1,0,72,10
uniform,4,92000,G25O,False,10,7420.110284031128,27435.551420155636,316,303,10,0,0,0,34,,10
uniform,4,92001,A0,True,12,11758.996824761807,47994.98412380893,313,274,99,87,0,1,0,76,12
uniform,4,92001,G25O,False,12,7179.196568201301,26905.982841006513,291,283,12,0,0,0,51,,12
uniform,4,92002,A0,True,11,10976.471611864537,42787.35805932268,400,364,11,0,0,0,0,68,11
uniform,4,92002,G25O,False,11,7100.405570857862,25552.02785428931,325,310,11,0,0,0,44,,11
edge,3,92000,A0,True,10,4592.8890876133055,19239.44543806653,117,110,10,0,0,0,0,30,10
edge,3,92000,G25O,True,10,4553.84038768675,18884.201938433762,124,107,10,0,0,0,20,,10
edge,3,92001,A0,True,12,4434.788631681758,18708.943158408787,107,98,12,0,0,0,0,35,12
edge,3,92001,G25O,True,12,4247.381369252737,17476.90684626368,119,97,12,0,0,0,28,,12
edge,3,92002,A0,True,11,4835.116504310326,20115.58252155163,128,117,11,0,0,0,0,36,11
edge,3,92002,G25O,True,11,4778.483961992257,19672.419809961284,135,114,11,0,0,0,25,,11
edge,4,92000,A0,True,10,13485.763383070798,51058.81691535392,510,464,80,70,0,1,0,69,10
edge,4,92000,G25O,False,10,9022.297401331658,30711.487006658284,481,425,10,0,0,0,55,,10
edge,4,92001,A0,True,12,15643.139911914235,60960.6995595711,534,487,90,78,0,5,0,94,12
edge,4,92001,G25O,False,12,9524.824706519485,32699.123532597427,501,420,12,0,0,0,84,,12
edge,4,92002,A0,True,11,13973.932418601444,54304.66209300712,488,432,73,62,0,3,0,78,11
edge,4,92002,G25O,False,11,9398.50486882022,32567.52434410108,480,430,11,0,0,0,50,,11
