mode,seed,kind,sources,success,cleared,virtual_time_s,time_per_source_s,distance_m,measures,switches,clear_calls,failed_clear,cost_identity_error_s
3,160000,edge,11,True,11,4216.783268565737,383.34393350597605,16918.916342828685,132,118,11,0,0.0
3,160001,uniform,12,True,12,3313.7489845483233,276.1457487123603,13098.744922741611,108,94,12,0,9.094947017729282e-13
3,160002,uniform,11,True,11,3184.628176899588,289.5116524454171,12583.140884497943,104,93,11,0,-4.547473508864641e-13
3,160003,edge,15,True,15,4462.532778045506,297.5021852030338,18002.66389022753,135,112,15,0,0.0
3,160004,uniform,11,True,11,2593.4284714036944,235.76622467306314,9692.142357018469,101,95,11,0,4.547473508864641e-13
3,160005,uniform,15,True,15,3276.4504406871106,218.4300293791407,13467.25220343555,86,78,15,0,4.547473508864641e-13
3,160006,edge,11,True,11,3736.464524466986,339.67859313336237,14317.322622334925,139,123,11,0,9.094947017729282e-13
3,160007,uniform,10,True,10,3247.2345917854436,324.7234591785444,12601.172958927214,114,107,10,0,9.094947017729282e-13
3,160008,uniform,10,True,10,2916.6063484207302,291.660634842073,11223.031742103642,105,97,10,0,1.8189894035458565e-12
3,160009,edge,15,True,15,4623.534033173007,308.2356022115338,18932.670165865035,130,112,15,0,0.0
3,160010,uniform,12,True,12,3729.7331177192377,310.81109314326983,14913.665588596194,117,102,12,0,-9.094947017729282e-13
3,160011,uniform,12,True,12,3129.5254125081983,260.7937843756832,12117.62706254099,109,101,12,0,0.0
3,160012,edge,16,True,16,4762.52220037367,297.65763752335437,19472.61100186834,135,113,16,0,1.8189894035458565e-12
3,160013,uniform,11,True,11,3427.0476849601805,311.54978954183457,13600.2384248009,110,102,11,0,4.547473508864641e-13
3,160014,uniform,15,True,15,3217.4005221549187,214.49336814366126,12942.002610774598,94,84,15,0,-9.094947017729282e-13
3,160015,edge,16,True,16,4384.275182569525,274.0171989105953,17656.375912847627,133,108,16,0,0.0
3,160016,uniform,12,True,12,3322.8636124404275,276.90530103670227,13039.31806220214,111,100,12,0,-4.547473508864641e-13
3,160017,uniform,13,True,13,2980.355717067868,229.2581320821437,11501.77858533934,104,95,13,0,4.547473508864641e-13
3,160018,edge,16,True,16,4457.860410639903,278.61627566499396,17814.302053199513,140,115,16,0,9.094947017729282e-13
3,160019,uniform,12,True,12,3079.561206449578,256.63010053746484,12062.806032247889,103,92,12,0,4.547473508864641e-13
3,160020,uniform,15,True,15,3572.797302012253,238.18648680081688,14528.986510061255,101,87,15,0,2.2737367544323206e-12
3,160021,edge,10,True,10,3642.865768214311,364.28657682143114,14009.32884107156,134,121,10,0,-9.094947017729282e-13
3,160022,uniform,15,True,15,3552.8982920166018,236.85988613444013,14424.491460083007,101,88,15,0,4.547473508864641e-13
3,160023,uniform,14,True,14,3506.4035406750604,250.45739576250432,14002.017703375299,108,96,14,0,4.547473508864641e-13
3,160024,edge,15,True,15,4196.17332089649,279.74488805976597,16830.866604482446,130,105,15,0,9.094947017729282e-13
3,160025,uniform,13,True,13,3003.712035390514,231.05477195311644,11728.56017695257,100,93,13,0,0.0
3,160026,uniform,13,True,13,3669.741376452643,282.28779818866485,14838.706882263215,108,97,13,0,0.0
3,160027,edge,15,True,15,4062.543661776401,270.83624411842675,15917.718308882006,138,114,15,0,0.0
3,160028,uniform,13,True,13,3382.94690881701,260.22668529361613,13399.734544085053,108,98,13,0,-9.094947017729282e-13
3,160029,uniform,16,True,16,3560.320121980399,222.52000762377494,15086.600609901989,80,63,16,0,1.3642420526593924e-12
