[driver] start G25O-R full mode3 100
[batch] run 1: clicked 开始问题3演练测试, waiting runner...
[batch] run 1: success=True cleared=14 V=4250.132888 fallback=0
[batch] run 2: clicked 开始问题3演练测试, waiting runner...
[batch] run 2: success=True cleared=15 V=4411.241212 fallback=0
[batch] run 3: clicked 开始问题3演练测试, waiting runner...
[batch] run 3: success=True cleared=14 V=4027.940025 fallback=0
[batch] run 4: clicked 开始问题3演练测试, waiting runner...
[batch] run 4: success=True cleared=13 V=4181.357294 fallback=0
[batch] run 5: clicked 开始问题3演练测试, waiting runner...
[batch] run 5: success=True cleared=12 V=4228.875632 fallback=0
[batch] run 6: clicked 开始问题3演练测试, waiting runner...
[batch] run 6: success=True cleared=15 V=4329.654012 fallback=0
[batch] run 7: clicked 开始问题3演练测试, waiting runner...
[batch] run 7: success=True cleared=14 V=3504.566699 fallback=0
[batch] run 8: clicked 开始问题3演练测试, waiting runner...
[batch] run 8: success=True cleared=15 V=4387.064088 fallback=0
[batch] run 9: clicked 开始问题3演练测试, waiting runner...
[batch] run 9: success=True cleared=16 V=4371.890007 fallback=0
[batch] run 10: clicked 开始问题3演练测试, waiting runner...
[batch] run 10: success=True cleared=14 V=3885.617823 fallback=0
[batch] run 11: clicked 开始问题3演练测试, waiting runner...
[batch] run 11: success=True cleared=14 V=4246.140054 fallback=0
[batch] run 12: clicked 开始问题3演练测试, waiting runner...
[batch] run 12: success=True cleared=16 V=4365.685786 fallback=0
[batch] run 13: clicked 开始问题3演练测试, waiting runner...
[batch] run 13: success=True cleared=12 V=4399.27508 fallback=0
[batch] run 14: clicked 开始问题3演练测试, waiting runner...
[batch] run 14: success=True cleared=11 V=4136.954274 fallback=0
[batch] run 15: clicked 开始问题3演练测试, waiting runner...
[batch] run 15: success=True cleared=10 V=3648.557446 fallback=0
[batch] run 16: clicked 开始问题3演练测试, waiting runner...
[batch] run 16: success=True cleared=10 V=4188.115083 fallback=0
[batch] run 17: clicked 开始问题3演练测试, waiting runner...
[batch] run 17: success=True cleared=16 V=3974.049138 fallback=0
[batch] run 18: clicked 开始问题3演练测试, waiting runner...
[batch] run 18: success=True cleared=12 V=4434.742183 fallback=0
[batch] run 19: clicked 开始问题3演练测试, waiting runner...
[batch] run 19: success=True cleared=14 V=4232.911801 fallback=0
[batch] run 20: clicked 开始问题3演练测试, waiting runner...
[batch] run 20: success=True cleared=16 V=4076.840007 fallback=0
[batch] run 21: clicked 开始问题3演练测试, waiting runner...
[batch] run 21: success=True cleared=15 V=3998.382895 fallback=0
[batch] run 22: clicked 开始问题3演练测试, waiting runner...
[batch] run 22: success=True cleared=13 V=4082.922698 fallback=0
[batch] run 23: clicked 开始问题3演练测试, waiting runner...
[batch] run 23: success=True cleared=11 V=4548.026881 fallback=0
[batch] run 24: clicked 开始问题3演练测试, waiting runner...
[batch] run 24: success=True cleared=10 V=4120.849955 fallback=0
[batch] run 25: clicked 开始问题3演练测试, waiting runner...
[batch] run 25: success=True cleared=13 V=3842.352295 fallback=0
[batch] run 26: clicked 开始问题3演练测试, waiting runner...
[batch] run 26: success=True cleared=15 V=4421.515156 fallback=0
[batch] run 27: clicked 开始问题3演练测试, waiting runner...
[batch] run 27: success=True cleared=16 V=4080.932655 fallback=0
[batch] run 28: clicked 开始问题3演练测试, waiting runner...
[batch] run 28: success=True cleared=14 V=4038.154037 fallback=0
[batch] run 29: clicked 开始问题3演练测试, waiting runner...
[batch] run 29: success=True cleared=13 V=4435.622398 fallback=0
[batch] run 30: clicked 开始问题3演练测试, waiting runner...
[batch] run 30: success=True cleared=15 V=4781.408796 fallback=0
[batch] run 31: clicked 开始问题3演练测试, waiting runner...
[batch] run 31: success=True cleared=11 V=3874.347448 fallback=0
[batch] run 32: clicked 开始问题3演练测试, waiting runner...
[batch] run 32: success=True cleared=15 V=4392.783049 fallback=0
[batch] run 33: clicked 开始问题3演练测试, waiting runner...
[batch] run 33: success=True cleared=10 V=3601.240272 fallback=0
[batch] run 34: clicked 开始问题3演练测试, waiting runner...
[batch] run 34: success=True cleared=13 V=4099.627212 fallback=0
[batch] run 35: clicked 开始问题3演练测试, waiting runner...
[batch] run 35: success=True cleared=15 V=4873.427451 fallback=0
[batch] run 36: clicked 开始问题3演练测试, waiting runner...
[batch] run 36: success=True cleared=15 V=4342.857234 fallback=0
[batch] run 37: clicked 开始问题3演练测试, waiting runner...
[batch] run 37: success=True cleared=10 V=3751.273302 fallback=0
[batch] run 38: clicked 开始问题3演练测试, waiting runner...
[batch] run 38: success=True cleared=11 V=3935.306797 fallback=0
[batch] run 39: clicked 开始问题3演练测试, waiting runner...
[batch] run 39: success=True cleared=16 V=4496.655322 fallback=0
[batch] run 40: clicked 开始问题3演练测试, waiting runner...
[batch] run 40: success=True cleared=12 V=4215.316293 fallback=0
[batch] run 41: clicked 开始问题3演练测试, waiting runner...
[batch] run 41: success=True cleared=15 V=3931.261495 fallback=0
[batch] run 42: clicked 开始问题3演练测试, waiting runner...
[batch] run 42: success=True cleared=14 V=4456.924454 fallback=0
[batch] run 43: clicked 开始问题3演练测试, waiting runner...
[batch] run 43: success=True cleared=16 V=4496.441313 fallback=0
[batch] run 44: clicked 开始问题3演练测试, waiting runner...
[batch] run 44: success=True cleared=16 V=4413.770469 fallback=0
[batch] run 45: clicked 开始问题3演练测试, waiting runner...
[batch] run 45: success=True cleared=11 V=4208.947985 fallback=0
[batch] run 46: clicked 开始问题3演练测试, waiting runner...
[batch] run 46: success=True cleared=10 V=3675.229544 fallback=0
[batch] run 47: clicked 开始问题3演练测试, waiting runner...
[batch] run 47: success=True cleared=16 V=4130.827628 fallback=0
[batch] run 48: clicked 开始问题3演练测试, waiting runner...
[batch] run 48: success=True cleared=16 V=4178.918705 fallback=0
[batch] run 49: clicked 开始问题3演练测试, waiting runner...
[batch] run 49: success=True cleared=15 V=4873.491379 fallback=0
[batch] run 50: clicked 开始问题3演练测试, waiting runner...
[batch] run 50: success=True cleared=10 V=3877.737293 fallback=0
[batch] run 51: clicked 开始问题3演练测试, waiting runner...
[batch] run 51: success=True cleared=16 V=3939.771467 fallback=0
[batch] run 52: clicked 开始问题3演练测试, waiting runner...
[batch] run 52: success=True cleared=12 V=4485.35244 fallback=0
[batch] run 53: clicked 开始问题3演练测试, waiting runner...
[batch] run 53: success=True cleared=10 V=3382.721643 fallback=0
[batch] run 54: clicked 开始问题3演练测试, waiting runner...
[batch] run 54: success=True cleared=12 V=4072.127464 fallback=0
[batch] run 55: clicked 开始问题3演练测试, waiting runner...
[batch] run 55: success=True cleared=14 V=4681.562612 fallback=0
[batch] run 56: clicked 开始问题3演练测试, waiting runner...
[batch] run 56: success=True cleared=16 V=4509.028549 fallback=0
[batch] run 57: clicked 开始问题3演练测试, waiting runner...
[batch] run 57: success=True cleared=16 V=4025.948626 fallback=0
[batch] run 58: clicked 开始问题3演练测试, waiting runner...
[batch] run 58: success=True cleared=11 V=4103.72547 fallback=0
[batch] run 59: clicked 开始问题3演练测试, waiting runner...
[batch] run 59: success=True cleared=14 V=4547.364835 fallback=0
[batch] run 60: clicked 开始问题3演练测试, waiting runner...
[batch] run 60: success=True cleared=13 V=4219.728316 fallback=0
[batch] run 61: clicked 开始问题3演练测试, waiting runner...
[batch] run 61: success=True cleared=10 V=4011.742155 fallback=0
[batch] run 62: clicked 开始问题3演练测试, waiting runner...
[batch] run 62: success=True cleared=12 V=4282.929109 fallback=0
[batch] run 63: clicked 开始问题3演练测试, waiting runner...
[batch] run 63: success=True cleared=10 V=3799.011338 fallback=0
[batch] run 64: clicked 开始问题3演练测试, waiting runner...
[batch] run 64: success=True cleared=15 V=4286.517031 fallback=0
[batch] run 65: clicked 开始问题3演练测试, waiting runner...
[batch] run 65: success=True cleared=11 V=4037.381232 fallback=0
[batch] run 66: clicked 开始问题3演练测试, waiting runner...
[batch] run 66: success=True cleared=14 V=4291.809552 fallback=0
[batch] run 67: clicked 开始问题3演练测试, waiting runner...
[batch] run 67: success=True cleared=11 V=3460.873065 fallback=0
[batch] run 68: clicked 开始问题3演练测试, waiting runner...
[batch] run 68: success=True cleared=12 V=3725.484614 fallback=0
[batch] run 69: clicked 开始问题3演练测试, waiting runner...
[batch] run 69: success=True cleared=14 V=4006.442911 fallback=0
[batch] run 70: clicked 开始问题3演练测试, waiting runner...
[batch] run 70: success=True cleared=14 V=4150.465295 fallback=0
[batch] run 71: clicked 开始问题3演练测试, waiting runner...
[batch] run 71: success=True cleared=15 V=4291.126859 fallback=0
[batch] run 72: clicked 开始问题3演练测试, waiting runner...
[batch] run 72: success=True cleared=16 V=3981.131406 fallback=0
[batch] run 73: clicked 开始问题3演练测试, waiting runner...
[batch] run 73: success=True cleared=14 V=4506.497438 fallback=0
